"Title","MIC","docking score"
"3.12",2.0000,-7.965
"3.52",0.2500,-7.371
"4.77",16.0000,-7.987
"4.50",16.0000,-7.962
"3.58",0.2500,-6.952
"3.59",8.0000,-7.927
"3.31",8.0000,-6.671
"3.57",1.0000,-7.578
"3.12",2.0000,-7.529
"3.50",0.0630,-7.758
"3.58",0.2500,-7.489
"3.30",4.0000,-6.471
"6.21",0.0200,-7.591
"3.17",1.0000,-7.567
"3.43",2.0000,-7.504
"4.55",1.0000,-7.473
"3.42",4.0000,-6.583
"3.22",4.0000,-7.415
"3.6",0.2500,-7.368
"3.53",4.0000,-6.400
"3.49",0.0630,-7.372
"3.28",8.0000,-7.326
"3.42",4.0000,-7.187
"3.62",2.0000,-7.324
"6.25",0.0300,-7.266
"3.25",0.2500,-7.196
"3.54",0.1250,-7.256
"3.52",0.2500,-7.103
"3.56",0.5000,-7.213
"3.8",0.2500,-7.170
"3.60",16.0000,-7.138
"3.36",4.0000,-7.157
"3.51",0.5000,-7.177
"3.9",1.5000,-7.131
"3.10",8.0000,-7.099
"3.55",1.0000,-7.111
"3.11",8.0000,-7.062
"3.61",16.0000,-7.062
"4.54",0.5000,-7.054
"6.18",2.0000,-7.032
"3.21",4.0000,-7.057
"3.57",1.0000,-6.548
"3.37",1.0000,-7.030
"3.48",0.1300,-7.008
"4.63",0.1250,-6.986
"3.39",2.0000,-6.448
"4.38",0.0300,-6.980
"4.58",0.0160,-6.964
"3.23",8.0000,-6.949
"3.46",0.2500,-6.938
"3.33",0.2500,-6.927
"3.4",0.2500,-6.901
"2.7",0.2500,-6.901
"4.41",0.0500,-6.887
"3.15",0.5000,-5.643
"3.26",0.1200,-6.879
"3.44",8.0000,-6.878
"3.18",0.5000,-6.873
"3.34",0.2500,-6.850
"3.29",2.0000,-6.823
"6.8",0.0600,-6.808
"4.53",0.2500,-6.802
"4.81",1.0000,-6.779
"3.38",0.2500,-6.795
"3.27",8.0000,-6.739
"6.5",0.0200,-6.738
"2.8",2.0000,-6.740
"3.32",0.1200,-6.736
"3.15",0.5000,-6.643
"4.72",0.1250,-6.663
"4.49",0.0630,-6.641
"3.31",8.0000,-6.586
"4.59",0.0630,-6.624
"6.16",0.2500,-6.620
"4.79",1.0000,-6.618
"4.56",0.5000,-6.608
"3.14",4.0000,-6.597
"3.7",0.5000,-6.584
"3.39",2.0000,-6.256
"4.73",0.5000,-6.560
"3.35",1.0000,-6.573
"3.16",1.5000,-6.556
"6.23",0.0300,-6.531
"3.47",0.2500,-6.527
"4.76",8.0000,-6.517
"3.41",8.0000,-6.552
"4.66",8.0000,-6.477
"3.13",8.0000,-6.471
"4.39",0.0300,-6.460
"4.51",0.0630,-6.458
"4.37",0.0160,-6.456
"4.6",0.0160,-6.455
"AM8085",0.0160,-6.455
"3.45",0.5000,-6.468
"6.7",4.0000,-6.442
"4.67",0.2500,-6.425
"3.40",8.0000,-6.461
"4.46",0.5000,-6.445
"4.69",2.0000,-6.404
"4.47",0.2500,-6.400
"6.24",16.0000,-6.395
"AM8192",0.0600,-6.378
"4.52",2.0000,-6.373
"3.24",2.0000,-6.361
"4.78",1.0000,-6.343
"3.53",4.0000,-6.250
"3.30",4.0000,-6.270
"4.35",0.0080,-6.328
"4.85",64.0000,-6.324
"6.6",0.0200,-6.298
"4.71",16.0000,-6.267
"4.48",0.5000,-6.253
"4.64",16.0000,-6.249
"4.42",4.0000,-6.249
"4.82",2.0000,-6.248
"4.86",16.0000,-6.242
"4.40",0.0600,-6.238
"4.75",16.0000,-6.232
"4.43",0.2500,-6.208
"4.57",0.0310,-6.177
"6.19",0.1300,-5.077
"6.19",0.1300,-6.089
"6.14",0.5000,-6.135
"6.12",8.0000,-6.123
"4.70",0.1250,-6.116
"4.44",0.1250,-6.063
"6.9",0.5000,-6.056
"AM8191",0.0200,-6.052
"4.45",0.0310,-5.563
"4.74",4.0000,-6.020
"4.65",16.0000,-5.964
"4.36",0.0310,-5.911
"4.45",0.0310,-5.401
"4.68",0.5000,-5.792
"6.13",0.2500,-5.786
"6.10",1.0600,-5.753
"4.61",32.0000,-5.686
"6.11",2.0000,-5.696
"4.83",64.0000,-5.658
"4.84",32.0000,-5.514
"6.22",0.0300,-5.172
"4.62",8.0000,-4.838
"6.20",16.0000,-4.812
"4.87",16.0000,-4.759
"4.60",8.0000,-4.587
"4.80",8.0000,-3.732
