"Title","MIC","MMGBSA dG Bind"
"5.65",16.0000,-74.223
"5.49",0.0310,-70.810
"5.30",0.5000,-68.186
"5.19",0.2500,-67.708
"5.59",0.1250,-67.470
"5.67",0.1250,-67.044
"5.51",0.0630,-65.974
"5.62",0.1250,-65.393
"5.26",0.1250,-65.307
"5.60",0.5000,-65.271
"5.48",16.0000,-64.329
"5.66",0.1250,-64.292
"5.63",0.0630,-64.171
"5.29",0.2500,-64.016
"AM8191",0.0200,-63.687
"5.53",1.0000,-63.612
"5.9",0.1250,-63.598
"5.23",0.1250,-63.234
"5.16",0.0160,-63.087
"5.17",0.0310,-62.655
"5.47",0.2500,-62.082
"5.46",0.0630,-61.592
"5.8",0.0630,-61.511
"5.15",0.0310,-61.277
"5.6",0.0310,-61.249
"5.32",1.0000,-61.230
"5.52",0.0630,-61.207
"5.28",0.2500,-60.601
"5.11",0.1250,-60.531
"5.10",0.0630,-60.444
"5.50",0.2500,-60.246
"5.7",0.2500,-60.241
"5.45",0.0310,-59.980
"2.7",0.2500,-59.306
"5.61",1.0000,-59.268
"5.12",0.0630,-59.214
"5.14",0.0630,-58.923
"5.54",16.0000,-58.841
"5.33",0.2500,-58.597
"5.13",0.0160,-57.903
"5.21",0.0630,-57.700
"5.5",0.5000,-57.560
"5.31",0.5000,-57.257
"5.3",0.0160,-56.496
"5.20",1.0000,-55.882
"5.18",0.0630,-55.731
"5.64",8.0000,-52.741
