"Title","MIC","docking score"
"4.50",16.0000,-8.137
"4.77",16.0000,-8.079
"4.55",1.0000,-7.638
"4.87",16.0000,-7.282
"4.54",0.5000,-7.257
"4.63",0.1250,-7.051
"4.38",0.0300,-7.049
"4.59",0.0630,-7.041
"4.51",0.0630,-7.002
"4.58",0.0160,-6.976
"4.81",1.0000,-6.960
"4.37",0.0160,-6.947
"4.53",0.2500,-6.943
"4.62",8.0000,-6.940
"4.56",0.5000,-6.933
"4.49",0.0630,-6.860
"2.7",0.2500,-6.851
"4.48",0.5000,-6.799
"4.43",0.2500,-6.775
"4.78",1.0000,-6.765
"4.40",0.0600,-6.765
"4.76",8.0000,-6.744
"4.42",4.0000,-6.739
"4.72",0.1250,-6.728
"4.73",0.5000,-6.707
"4.79",1.0000,-6.675
"4.57",0.0310,-6.668
"4.67",0.2500,-6.667
"4.6",0.0160,-6.666
"4.44",0.1250,-6.634
"4.41",0.0500,-6.623
"4.71",16.0000,-6.609
"4.35",0.0080,-6.572
"4.66",8.0000,-6.568
"4.39",0.0300,-6.543
"4.70",0.1250,-6.539
"4.75",16.0000,-6.517
"4.47",0.2500,-6.510
"4.82",2.0000,-6.506
"4.52",2.0000,-6.498
"4.46",0.5000,-6.534
"4.69",2.0000,-6.493
"AM8191",0.0200,-6.427
"4.64",16.0000,-6.397
"4.68",0.5000,-6.373
"4.45",0.0310,-5.862
"4.36",0.0310,-6.319
"4.85",64.0000,-6.306
"4.86",16.0000,-6.280
"4.83",64.0000,-6.216
"4.45",0.0310,-5.669
"4.84",32.0000,-6.066
"4.74",4.0000,-5.792
"4.65",16.0000,-4.988
"4.60",8.0000,-4.855
"4.61",32.0000,-4.298
"4.80",8.0000,-3.580
