"Title","MIC","docking score"
"3.12",2.0000,-9.353
"3.52",0.2500,-8.940
"3.58",0.2500,-8.772
"3.12",2.0000,-8.531
"3.17",1.0000,-8.495
"3.15",0.5000,-8.458
"4.77",16.0000,-8.448
"3.59",8.0000,-8.402
"3.31",8.0000,-8.285
"3.57",1.0000,-8.190
"3.50",0.0630,-8.108
"3.30",4.0000,-8.108
"4.50",16.0000,-8.078
"3.43",2.0000,-8.003
"3.53",4.0000,-7.986
"3.58",0.2500,-7.937
"3.6",0.2500,-7.856
"3.37",1.0000,-7.833
"4.55",1.0000,-7.826
"3.49",0.0630,-7.818
"6.21",0.0200,-7.816
"3.8",0.2500,-7.808
"6.25",0.0300,-7.721
"3.60",16.0000,-7.686
"3.62",2.0000,-7.665
"3.28",8.0000,-7.648
"3.25",0.2500,-7.610
"3.51",0.5000,-7.597
"3.21",4.0000,-7.576
"3.48",0.1300,-7.539
"3.38",0.2500,-7.535
"3.22",4.0000,-7.526
"3.52",0.2500,-7.526
"3.7",0.5000,-7.509
"3.11",8.0000,-7.496
"3.54",0.1250,-7.494
"3.9",1.5000,-7.474
"3.26",0.1200,-7.469
"3.57",1.0000,-7.443
"3.42",4.0000,-7.429
"4.38",0.0300,-7.427
"3.10",8.0000,-7.420
"3.56",0.5000,-7.414
"2.8",2.0000,-7.411
"4.63",0.1250,-7.409
"3.46",0.2500,-7.389
"4.58",0.0160,-7.382
"3.15",0.5000,-7.350
"3.14",4.0000,-7.348
"3.55",1.0000,-7.340
"3.4",0.2500,-7.336
"2.7",0.2500,-7.336
"3.61",16.0000,-7.332
"3.34",0.2500,-7.328
"4.59",0.0630,-7.321
"3.33",0.2500,-7.235
"4.54",0.5000,-7.231
"6.5",0.0200,-7.210
"3.35",1.0000,-7.208
"3.47",0.2500,-7.193
"4.39",0.0300,-7.185
"3.39",2.0000,-7.184
"3.31",8.0000,-7.183
"3.23",8.0000,-7.179
"3.40",8.0000,-7.176
"3.36",4.0000,-7.165
"3.29",2.0000,-7.150
"4.79",1.0000,-7.135
"3.27",8.0000,-7.129
"3.32",0.1200,-7.125
"3.30",4.0000,-7.122
"4.57",0.0310,-7.121
"3.53",4.0000,-7.113
"6.8",0.0600,-7.105
"4.51",0.0630,-7.084
"4.81",1.0000,-7.084
"3.42",4.0000,-7.065
"6.19",0.1300,-7.052
"4.78",1.0000,-7.050
"3.24",2.0000,-7.017
"4.72",0.1250,-6.998
"4.61",32.0000,-6.987
"3.41",8.0000,-6.980
"3.45",0.5000,-6.965
"4.67",0.2500,-6.957
"4.73",0.5000,-6.947
"6.7",4.0000,-6.928
"3.18",0.5000,-6.912
"4.35",0.0080,-6.910
"4.69",2.0000,-6.906
"4.49",0.0630,-6.904
"6.6",0.0200,-6.894
"3.39",2.0000,-6.884
"4.41",0.0500,-6.880
"4.6",0.0160,-6.880
"AM8085",0.0160,-6.880
"4.76",8.0000,-6.864
"3.13",8.0000,-6.857
"3.16",1.5000,-6.857
"4.82",2.0000,-6.848
"4.40",0.0600,-6.848
"4.56",0.5000,-6.829
"4.46",0.5000,-6.805
"4.47",0.2500,-6.795
"4.52",2.0000,-6.786
"6.19",0.1300,-6.776
"6.18",2.0000,-6.756
"4.37",0.0160,-6.754
"4.48",0.5000,-6.753
"4.42",4.0000,-6.720
"3.44",8.0000,-6.715
"6.14",0.5000,-6.712
"4.83",64.0000,-6.706
"4.71",16.0000,-6.706
"6.23",0.0300,-6.697
"6.9",0.5000,-6.684
"6.16",0.2500,-6.668
"4.53",0.2500,-6.631
"AM8191",0.0200,-6.618
"4.64",16.0000,-6.611
"4.68",0.5000,-6.607
"4.45",0.0310,-6.606
"4.74",4.0000,-6.604
"4.86",16.0000,-6.587
"4.70",0.1250,-6.586
"6.24",16.0000,-6.575
"4.36",0.0310,-6.526
"4.66",8.0000,-6.519
"4.65",16.0000,-6.483
"AM8192",0.0600,-6.458
"4.44",0.1250,-6.446
"4.43",0.2500,-6.428
"6.13",0.2500,-6.416
"4.85",64.0000,-6.394
"4.45",0.0310,-6.292
"4.84",32.0000,-6.284
"6.11",2.0000,-6.199
"6.10",1.0600,-6.074
"4.75",16.0000,-5.955
"6.12",8.0000,-5.537
"4.80",8.0000,-5.401
"4.60",8.0000,-4.930
"6.20",16.0000,-4.742
"4.87",16.0000,-4.342
"4.62",8.0000,-4.234
"6.22",0.0300,-4.093
