"Title","MIC","docking score"
"2.7",0.2500,-6.972
"2.8",2.0000,-6.685
"3.4",0.2500,-6.972
"3.6",0.2500,-7.286
"3.7",0.5000,-7.240
"3.8",0.2500,-7.198
"3.9",1.5000,-6.976
"3.10",8.0000,-5.333
"3.11",8.0000,-6.876
"3.12",2.0000,-8.478
"3.12",2.0000,-7.653
"3.13",8.0000,-6.087
"3.14",4.0000,-7.190
"3.15",0.5000,-7.219
"3.15",0.5000,-7.011
"3.16",1.5000,-6.489
"3.17",1.0000,-7.797
"3.18",0.5000,-6.673
"3.21",4.0000,-7.304
"3.22",4.0000,-7.291
"3.23",8.0000,-6.747
"3.24",2.0000,-6.770
"3.25",0.2500,-6.701
"3.26",0.1200,-6.919
"3.27",8.0000,-5.509
"3.28",8.0000,-5.935
"3.29",2.0000,-6.931
"3.30",4.0000,-6.496
"3.30",4.0000,-6.313
"3.31",8.0000,-6.518
"3.31",8.0000,-6.420
"3.32",0.1200,-6.850
"3.33",0.2500,-6.663
"3.34",0.2500,-6.672
"3.35",1.0000,-6.846
"3.36",4.0000,-7.032
"3.37",1.0000,-6.701
"3.38",0.2500,-6.296
"3.39",2.0000,-6.324
"3.39",2.0000,-6.269
"3.40",8.0000,-6.713
"3.41",8.0000,-6.466
"3.42",4.0000,-6.501
"3.42",4.0000,-5.432
"3.43",2.0000,-5.420
"3.44",8.0000,-6.773
"3.45",0.5000,-6.340
"3.46",0.2500,-6.701
"3.47",0.2500,-6.595
"3.48",0.1300,-6.789
"3.49",0.0630,-6.913
"3.50",0.0630,-6.696
"3.51",0.5000,-6.549
"3.52",0.2500,-7.410
"3.52",0.2500,-6.643
"3.53",4.0000,-6.155
"3.53",4.0000,-5.728
"3.54",0.1250,-6.757
"3.55",1.0000,-6.519
"3.56",0.5000,-6.587
"3.57",1.0000,-6.900
"3.57",1.0000,-5.472
"3.58",0.2500,-7.085
"3.58",0.2500,-6.800
"3.59",8.0000,-8.288
"3.60",16.0000,-6.975
"3.61",16.0000,-7.263
"3.62",2.0000,-6.945
"4.6",0.0160,-7.010
"4.35",0.0080,-6.703
"4.36",0.0310,-6.703
"4.37",0.0160,-6.899
"4.38",0.0300,-7.172
"4.39",0.0300,-7.094
"4.40",0.0600,-6.769
"4.41",0.0500,-6.995
"4.42",4.0000,-6.820
"4.43",0.2500,-4.823
"4.44",0.1250,-6.442
"4.45",0.0310,-6.203
"4.45",0.0310,-5.887
"4.46",0.5000,-6.560
"4.47",0.2500,-6.510
"4.48",0.5000,-6.718
"4.49",0.0630,-7.098
"4.50",16.0000,-8.186
"4.51",0.0630,-6.953
"4.52",2.0000,-6.364
"4.53",0.2500,-7.532
"4.54",0.5000,-6.737
"4.55",1.0000,-7.216
"4.56",0.5000,-6.773
"4.57",0.0310,-6.670
"4.58",0.0160,-6.999
"4.59",0.0630,-7.420
"4.60",8.0000,-2.118
"4.61",32.0000,-6.189
"4.62",8.0000,-7.558
"4.63",0.1250,-6.877
"4.64",16.0000,-6.848
"4.65",16.0000,-6.213
"4.66",8.0000,-6.197
"4.67",0.2500,-6.630
"4.68",0.5000,-6.703
"4.69",2.0000,-6.770
"4.70",0.1250,-6.653
"4.71",16.0000,-6.649
"4.72",0.1250,-6.854
"4.73",0.5000,-6.883
"4.74",4.0000,-6.449
"4.75",16.0000,-6.556
"4.76",8.0000,-6.612
"4.77",16.0000,-8.389
"4.78",1.0000,-6.935
"4.79",1.0000,-6.918
"4.80",8.0000,-6.613
"4.81",1.0000,-7.290
"4.82",2.0000,-6.559
"4.83",64.0000,-6.282
"4.84",32.0000,-5.980
"4.85",64.0000,-6.220
"4.86",16.0000,-5.933
"4.87",16.0000,-6.350
"6.5",0.0200,-6.889
"6.6",0.0200,-7.008
"6.7",4.0000,-6.133
"6.8",0.0600,-6.923
"6.9",0.5000,-6.867
"6.10",1.0600,-6.721
"6.11",2.0000,-6.691
"6.12",8.0000,-3.679
"6.13",0.2500,-6.737
"6.14",0.5000,-6.869
"6.16",0.2500,-6.677
"6.18",2.0000,-5.986
"6.19",0.1300,-6.744
"6.19",0.1300,-6.465
"6.20",16.0000,-6.570
"6.21",0.0200,-7.766
"6.22",0.0300,-6.726
"6.23",0.0300,-6.764
"6.24",16.0000,-6.218
"6.25",0.0300,-7.577
"AM8085",0.0160,-7.006
"AM8191",0.0200,-6.678
"AM8192",0.0600,-7.019
