"Title","MIC","docking score"
"3.52",0.2500,-8.039
"3.12",2.0000,-8.275
"3.58",0.2500,-7.741
"3.57",1.0000,-8.312
"3.17",1.0000,-8.470
"3.53",4.0000,-7.349
"3.12",2.0000,-8.009
"4.77",16.0000,-8.226
"4.50",16.0000,-8.170
"3.49",0.0630,-8.150
"3.15",0.5000,-6.823
"3.50",0.0630,-8.044
"3.52",0.2500,-7.894
"3.59",8.0000,-7.994
"3.30",4.0000,-6.789
"3.58",0.2500,-7.783
"3.56",0.5000,-7.888
"6.25",0.0300,-7.861
"6.21",0.0200,-7.855
"3.28",8.0000,-7.755
"3.6",0.2500,-7.756
"4.55",1.0000,-7.729
"3.54",0.1250,-7.747
"3.62",2.0000,-7.739
"3.51",0.5000,-7.720
"3.8",0.2500,-7.679
"3.42",4.0000,-7.510
"3.42",4.0000,-6.781
"3.31",8.0000,-6.395
"3.53",4.0000,-7.511
"3.57",1.0000,-7.089
"3.22",4.0000,-7.577
"3.14",4.0000,-7.428
"3.26",0.1200,-7.457
"3.25",0.2500,-7.383
"3.48",0.1300,-7.393
"3.60",16.0000,-7.319
"3.43",2.0000,-7.340
"3.46",0.2500,-7.345
"3.10",8.0000,-7.315
"3.55",1.0000,-7.347
"3.7",0.5000,-7.306
"6.18",2.0000,-7.263
"4.87",16.0000,-7.254
"3.36",4.0000,-7.265
"4.54",0.5000,-7.237
"4.38",0.0300,-7.234
"3.27",8.0000,-7.230
"3.21",4.0000,-7.265
"3.34",0.2500,-7.236
"2.7",0.2500,-7.215
"3.4",0.2500,-7.215
"3.15",0.5000,-7.160
"3.38",0.2500,-7.208
"3.39",2.0000,-6.657
"4.58",0.0160,-7.180
"3.32",0.1200,-7.185
"3.47",0.2500,-7.159
"2.8",2.0000,-7.149
"3.9",1.5000,-7.146
"3.16",1.5000,-7.149
"3.18",0.5000,-7.137
"3.31",8.0000,-7.034
"4.51",0.0630,-7.073
"4.59",0.0630,-7.071
"3.39",2.0000,-6.756
"3.40",8.0000,-7.095
"3.29",2.0000,-7.044
"3.11",8.0000,-7.042
"4.63",0.1250,-7.042
"4.65",16.0000,-7.041
"4.62",8.0000,-7.029
"3.33",0.2500,-7.044
"4.49",0.0630,-6.999
"3.61",16.0000,-6.973
"3.41",8.0000,-7.002
"4.56",0.5000,-6.947
"3.24",2.0000,-6.938
"6.7",4.0000,-6.933
"6.16",0.2500,-6.927
"4.39",0.0300,-6.923
"4.41",0.0500,-6.919
"4.78",1.0000,-6.900
"4.81",1.0000,-6.894
"3.30",4.0000,-6.830
"4.53",0.2500,-6.892
"4.72",0.1250,-6.887
"4.76",8.0000,-6.874
"4.48",0.5000,-6.873
"3.44",8.0000,-6.907
"4.57",0.0310,-6.843
"3.45",0.5000,-6.857
"4.37",0.0160,-6.814
"6.8",0.0600,-6.805
"6.9",0.5000,-6.773
"6.6",0.0200,-6.768
"4.67",0.2500,-6.760
"4.66",8.0000,-6.747
"4.40",0.0600,-6.735
"6.5",0.0200,-6.724
"3.35",1.0000,-6.733
"6.24",16.0000,-6.713
"4.73",0.5000,-6.712
"4.35",0.0080,-6.711
"4.6",0.0160,-6.691
"AM8085",0.0160,-6.691
"6.10",1.0600,-6.674
"4.79",1.0000,-6.663
"4.42",4.0000,-6.640
"4.46",0.5000,-6.667
"6.14",0.5000,-6.628
"4.69",2.0000,-6.626
"4.82",2.0000,-6.620
"6.11",2.0000,-6.616
"4.47",0.2500,-6.579
"4.75",16.0000,-6.573
"4.70",0.1250,-6.558
"4.43",0.2500,-6.555
"AM8192",0.0600,-6.549
"6.19",0.1300,-6.488
"4.52",2.0000,-6.526
"3.37",1.0000,-6.513
"AM8191",0.0200,-6.483
"4.44",0.1250,-6.474
"6.23",0.0300,-6.462
"4.36",0.0310,-6.465
"4.80",8.0000,-6.445
"4.68",0.5000,-6.409
"4.85",64.0000,-6.407
"6.13",0.2500,-6.400
"4.86",16.0000,-6.386
"4.64",16.0000,-6.355
"4.45",0.0310,-5.839
"4.71",16.0000,-6.286
"3.23",8.0000,-6.229
"4.83",64.0000,-6.140
"4.45",0.0310,-5.661
"3.13",8.0000,-6.083
"6.19",0.1300,-4.933
"4.84",32.0000,-6.024
"6.12",8.0000,-5.930
"4.74",4.0000,-5.805
"6.20",16.0000,-4.792
"6.22",0.0300,-3.834
"4.60",8.0000,-3.809
"4.61",32.0000,-2.143
