"Title","MIC","MMGBSA dG Bind"
"3.38",0.2500,-73.009
"3.58",0.2500,-72.001
"3.34",0.2500,-71.946
"3.6",0.2500,-71.535
"3.26",0.1200,-70.236
"3.36",4.0000,-70.049
"3.25",0.2500,-69.665
"3.58",0.2500,-69.543
"3.37",1.0000,-68.481
"3.8",0.2500,-67.750
"3.24",2.0000,-66.598
"3.22",4.0000,-65.793
"3.39",2.0000,-65.338
"3.42",4.0000,-65.263
"3.43",2.0000,-65.211
"3.21",4.0000,-65.112
"2.8",2.0000,-64.796
"3.12",2.0000,-64.511
"AM8191",0.0200,-63.734
"3.47",0.2500,-63.406
"3.9",1.5000,-63.019
"3.12",2.0000,-62.938
"3.42",4.0000,-62.903
"3.48",0.1300,-62.801
"3.28",8.0000,-62.758
"3.40",8.0000,-62.486
"3.44",8.0000,-62.434
"3.35",1.0000,-62.320
"3.29",2.0000,-61.986
"3.11",8.0000,-61.861
"3.30",4.0000,-61.587
"3.59",8.0000,-61.532
"3.62",2.0000,-61.508
"3.49",0.0630,-61.479
"3.54",0.1250,-60.938
"3.41",8.0000,-60.881
"3.39",2.0000,-60.824
"3.50",0.0630,-60.604
"3.55",1.0000,-60.235
"3.33",0.2500,-60.056
"AM8085",0.0160,-59.990
"3.18",0.5000,-59.970
"3.61",16.0000,-59.629
"3.31",8.0000,-59.602
"3.32",0.1200,-59.505
"2.7",0.2500,-59.306
"3.4",0.2500,-59.306
"3.51",0.5000,-58.547
"3.10",8.0000,-58.333
"3.52",0.2500,-57.195
"3.7",0.5000,-56.448
"3.16",1.5000,-56.409
"3.17",1.0000,-56.114
"3.52",0.2500,-55.818
"AM8192",0.0600,-55.650
"3.57",1.0000,-55.306
"3.30",4.0000,-55.087
"3.14",4.0000,-55.062
"3.53",4.0000,-55.055
"3.31",8.0000,-54.900
"3.27",8.0000,-53.397
"3.23",8.0000,-53.232
"3.56",0.5000,-53.169
"3.15",0.5000,-52.262
"3.60",16.0000,-51.313
"3.53",4.0000,-50.798
"3.57",1.0000,-49.933
"3.15",0.5000,-48.330
"3.45",0.5000,-47.159
"3.46",0.2500,-42.916
"3.13",8.0000,-31.313
