"Title","MIC","MMGBSA dG Bind"
"4.35",0.0080,-66.216
"4.6",0.0160,-66.638
"AM8085",0.0160,-66.617
"4.58",0.0160,-65.129
"4.37",0.0160,-61.922
"6.5",0.0200,-70.676
"AM8191",0.0200,-65.328
"6.21",0.0200,-63.892
"6.6",0.0200,-63.481
"6.25",0.0300,-64.830
"6.23",0.0300,-63.735
"4.38",0.0300,-60.731
"4.39",0.0300,-57.553
"6.22",0.0300,-40.536
"4.36",0.0310,-65.442
"4.45",0.0310,-64.054
"4.45",0.0310,-61.921
"4.57",0.0310,-57.950
"4.41",0.0500,-58.504
"6.8",0.0600,-68.848
"4.40",0.0600,-65.064
"AM8192",0.0600,-62.711
"4.51",0.0630,-66.418
"4.49",0.0630,-64.281
"3.49",0.0630,-62.383
"3.50",0.0630,-62.280
"4.59",0.0630,-61.676
"3.26",0.1200,-72.898
"3.32",0.1200,-61.189
"4.44",0.1250,-66.417
"4.63",0.1250,-66.266
"4.72",0.1250,-66.037
"4.70",0.1250,-64.952
"3.54",0.1250,-62.906
"3.48",0.1300,-66.251
"6.19",0.1300,-59.080
"6.19",0.1300,-50.966
"3.34",0.2500,-71.917
"3.58",0.2500,-71.087
"3.58",0.2500,-68.668
"3.8",0.2500,-67.567
"3.6",0.2500,-67.531
"4.53",0.2500,-65.131
"4.67",0.2500,-64.759
"6.16",0.2500,-64.623
"3.47",0.2500,-64.362
"3.25",0.2500,-64.211
"6.13",0.2500,-62.926
"3.52",0.2500,-61.695
"3.33",0.2500,-61.018
"3.52",0.2500,-60.637
"4.47",0.2500,-59.733
"3.4",0.2500,-59.127
"2.7",0.2500,-59.127
"3.38",0.2500,-49.383
"3.46",0.2500,-44.780
"4.43",0.2500,-37.616
"4.54",0.5000,-64.886
"3.56",0.5000,-63.892
"4.73",0.5000,-62.866
"4.68",0.5000,-61.698
"3.51",0.5000,-61.443
"4.48",0.5000,-61.015
"3.18",0.5000,-60.741
"4.46",0.5000,-59.121
"4.56",0.5000,-57.554
"3.7",0.5000,-57.166
"3.15",0.5000,-57.118
"6.9",0.5000,-55.072
"6.14",0.5000,-53.324
"3.15",0.5000,-51.791
"3.45",0.5000,-49.367
"3.35",1.0000,-69.092
"3.37",1.0000,-68.990
"4.55",1.0000,-66.561
"4.81",1.0000,-64.888
"4.78",1.0000,-64.511
"4.79",1.0000,-63.652
"3.55",1.0000,-60.971
"3.17",1.0000,-59.336
"3.57",1.0000,-54.520
"3.57",1.0000,-52.004
"6.10",1.0600,-62.785
"3.9",1.5000,-65.732
"3.16",1.5000,-57.985
"3.12",2.0000,-67.542
"3.39",2.0000,-66.700
"2.8",2.0000,-66.689
"3.43",2.0000,-66.271
"3.62",2.0000,-65.538
"6.18",2.0000,-64.861
"3.29",2.0000,-63.356
"3.39",2.0000,-62.149
"4.82",2.0000,-60.697
"3.12",2.0000,-59.405
"4.52",2.0000,-59.141
"4.69",2.0000,-58.537
"3.24",2.0000,-58.300
"6.11",2.0000,-50.371
"3.42",4.0000,-69.166
"3.22",4.0000,-67.316
"3.21",4.0000,-67.251
"6.7",4.0000,-66.344
"3.42",4.0000,-65.586
"3.30",4.0000,-65.253
"4.42",4.0000,-65.031
"3.30",4.0000,-60.341
"4.74",4.0000,-57.092
"3.14",4.0000,-57.022
"3.36",4.0000,-52.650
"3.53",4.0000,-43.467
"3.53",4.0000,-30.454
"3.28",8.0000,-69.608
"3.41",8.0000,-67.731
"3.11",8.0000,-63.567
"4.76",8.0000,-63.003
"3.27",8.0000,-61.211
"4.66",8.0000,-60.392
"3.59",8.0000,-59.165
"3.31",8.0000,-58.988
"3.31",8.0000,-57.186
"6.12",8.0000,-56.145
"3.40",8.0000,-55.314
"3.23",8.0000,-55.310
"3.10",8.0000,-54.491
"4.60",8.0000,-47.689
"4.62",8.0000,-45.457
"3.44",8.0000,-44.549
"4.80",8.0000,-37.553
"3.13",8.0000,-25.891
"4.86",16.0000,-64.929
"6.24",16.0000,-63.936
"4.71",16.0000,-62.443
"4.77",16.0000,-61.671
"4.75",16.0000,-60.886
"4.50",16.0000,-60.292
"3.61",16.0000,-56.195
"6.20",16.0000,-53.044
"4.65",16.0000,-52.566
"4.64",16.0000,-51.855
"3.60",16.0000,-46.919
"4.87",16.0000,-42.491
"4.84",32.0000,-67.334
"4.61",32.0000,-42.977
"4.85",64.0000,-62.585
"4.83",64.0000,-50.288
