"Title","MIC","docking score"
"4.77",16.0000,-8.312
"4.50",16.0000,-8.047
"4.55",1.0000,-7.608
"4.87",16.0000,-7.310
"4.54",0.5000,-7.223
"4.63",0.1250,-7.117
"4.38",0.0300,-7.113
"4.58",0.0160,-7.045
"4.51",0.0630,-7.002
"4.81",1.0000,-6.990
"4.41",0.0500,-6.933
"4.56",0.5000,-6.905
"4.53",0.2500,-6.897
"4.37",0.0160,-6.870
"2.7",0.2500,-6.851
"4.39",0.0300,-6.836
"4.76",8.0000,-6.831
"4.57",0.0310,-6.825
"4.67",0.2500,-6.817
"4.78",1.0000,-6.809
"4.59",0.0630,-6.763
"4.79",1.0000,-6.755
"4.72",0.1250,-6.745
"4.73",0.5000,-6.718
"4.62",8.0000,-6.717
"4.49",0.0630,-6.671
"4.69",2.0000,-6.666
"4.44",0.1250,-6.572
"4.66",8.0000,-6.568
"4.71",16.0000,-6.526
"4.52",2.0000,-6.504
"4.46",0.5000,-6.534
"4.75",16.0000,-6.494
"4.47",0.2500,-6.488
"4.70",0.1250,-6.470
"4.6",0.0160,-6.464
"4.82",2.0000,-6.455
"4.42",4.0000,-6.444
"4.40",0.0600,-6.442
"4.48",0.5000,-6.410
"4.64",16.0000,-6.397
"4.36",0.0310,-6.385
"4.43",0.2500,-6.330
"4.35",0.0080,-6.311
"4.86",16.0000,-6.306
"4.85",64.0000,-6.306
"4.68",0.5000,-6.190
"4.83",64.0000,-6.180
"AM8191",0.0200,-6.136
"4.45",0.0310,-5.680
"4.60",8.0000,-6.136
"4.74",4.0000,-6.066
"4.45",0.0310,-5.547
"4.65",16.0000,-6.020
"4.84",32.0000,-5.766
"4.80",8.0000,-5.685
"4.61",32.0000,-4.768
