"Title","MIC","MMGBSA dG Bind"
"3.26",0.1200,-77.771
"3.58",0.2500,-77.764
"3.34",0.2500,-77.219
"3.37",1.0000,-76.121
"3.58",0.2500,-75.973
"3.25",0.2500,-75.725
"3.36",4.0000,-72.632
"3.48",0.1300,-72.096
"5.18",0.0630,-72.001
"3.47",0.2500,-71.784
"3.21",4.0000,-71.066
"3.8",0.2500,-70.642
"6.5",0.0200,-70.615
"5.47",0.2500,-69.455
"3.39",2.0000,-69.432
"5.20",1.0000,-69.147
"5.17",0.0310,-69.146
"5.65",16.0000,-68.849
"3.35",1.0000,-68.739
"3.22",4.0000,-68.647
"3.41",8.0000,-68.320
"5.50",0.2500,-68.016
"3.39",2.0000,-67.759
"3.29",2.0000,-67.726
"6.13",0.2500,-67.349
"4.55",1.0000,-67.314
"5.59",0.1250,-67.291
"5.62",0.1250,-67.171
"5.67",0.1250,-66.886
"3.32",0.1200,-66.413
"3.30",4.0000,-66.322
"3.12",2.0000,-66.069
"5.14",0.0630,-66.008
"3.30",4.0000,-65.973
"5.29",0.2500,-65.930
"3.9",1.5000,-65.918
"3.31",8.0000,-65.841
"5.54",16.0000,-65.586
"3.31",8.0000,-65.184
"5.16",0.0160,-64.913
"4.67",0.2500,-64.900
"3.24",2.0000,-64.882
"4.54",0.5000,-64.845
"3.40",8.0000,-64.818
"5.31",0.5000,-64.660
"4.73",0.5000,-64.488
"3.12",2.0000,-64.228
"3.33",0.2500,-64.225
"5.6",0.0310,-64.176
"4.49",0.0630,-64.113
"3.18",0.5000,-63.958
"6.8",0.0600,-63.936
"6.10",1.0600,-63.935
"4.69",2.0000,-63.893
"3.14",4.0000,-63.875
"5.45",0.0310,-63.869
"AM8191",0.0200,-63.637
"4.37",0.0160,-63.539
"4.40",0.0600,-63.532
"3.4",0.2500,-63.322
"2.7",0.2500,-63.322
"3.16",1.5000,-63.314
"4.72",0.1250,-63.307
"5.61",1.0000,-63.292
"4.35",0.0080,-63.275
"4.50",16.0000,-63.223
"5.46",0.0630,-63.161
"4.81",1.0000,-63.147
"AM8192",0.0600,-63.118
"5.48",16.0000,-63.114
"5.28",0.2500,-63.007
"3.17",1.0000,-62.981
"6.21",0.0200,-62.962
"4.74",4.0000,-62.946
"5.51",0.0630,-62.901
"4.45",0.0310,-62.897
"4.44",0.1250,-62.689
"4.57",0.0310,-62.681
"AM8085",0.0160,-62.665
"4.6",0.0160,-62.659
"5.3",0.0160,-62.659
"4.51",0.0630,-62.524
"5.23",0.1250,-62.267
"3.54",0.1250,-62.242
"5.15",0.0310,-62.173
"3.50",0.0630,-62.157
"4.58",0.0160,-62.156
"3.51",0.5000,-62.137
"5.66",0.1250,-62.075
"4.70",0.1250,-61.950
"5.60",0.5000,-61.946
"4.42",4.0000,-61.908
"4.78",1.0000,-61.879
"4.53",0.2500,-61.871
"5.26",0.1250,-61.795
"5.53",1.0000,-61.737
"4.45",0.0310,-61.714
"6.25",0.0300,-61.607
"5.8",0.0630,-61.519
"3.7",0.5000,-61.517
"4.39",0.0300,-61.514
"4.36",0.0310,-61.513
"3.55",1.0000,-61.498
"6.11",2.0000,-61.386
"6.24",16.0000,-61.337
"4.46",0.5000,-61.185
"5.5",0.5000,-61.185
"5.13",0.0160,-61.136
"6.9",0.5000,-61.037
"4.63",0.1250,-61.027
"3.15",0.5000,-60.976
"5.52",0.0630,-60.955
"4.62",8.0000,-60.900
"3.59",8.0000,-60.840
"4.68",0.5000,-60.581
"5.11",0.1250,-60.397
"4.48",0.5000,-60.213
"5.21",0.0630,-60.201
"5.19",0.2500,-60.081
"6.6",0.0200,-60.021
"5.7",0.2500,-59.960
"4.86",16.0000,-59.951
"5.10",0.0630,-59.891
"6.7",4.0000,-59.882
"4.52",2.0000,-59.710
"5.32",1.0000,-59.678
"5.64",8.0000,-59.651
"4.47",0.2500,-59.638
"4.64",16.0000,-59.599
"4.85",64.0000,-59.552
"5.12",0.0630,-59.485
"4.59",0.0630,-59.472
"6.23",0.0300,-59.283
"4.66",8.0000,-59.000
"4.82",2.0000,-58.967
"4.84",32.0000,-58.636
"5.9",0.1250,-58.602
"3.52",0.2500,-58.544
"3.49",0.0630,-58.289
"5.63",0.0630,-58.136
"4.80",8.0000,-58.014
"4.38",0.0300,-57.994
"5.33",0.2500,-57.955
"4.79",1.0000,-57.909
"6.14",0.5000,-57.821
"3.15",0.5000,-57.540
"4.41",0.0500,-57.216
"3.62",2.0000,-57.067
"5.49",0.0310,-57.007
"2.8",2.0000,-56.467
"4.87",16.0000,-56.407
"5.30",0.5000,-55.454
"3.10",8.0000,-54.560
"4.83",64.0000,-54.154
"6.16",0.2500,-54.064
"3.11",8.0000,-53.735
"3.6",0.2500,-52.119
"4.43",0.2500,-51.887
"3.45",0.5000,-51.811
"4.61",32.0000,-50.717
"3.44",8.0000,-50.519
"3.57",1.0000,-50.149
"3.46",0.2500,-49.855
"4.60",8.0000,-49.634
"6.19",0.1300,-49.471
"3.57",1.0000,-49.325
"3.42",4.0000,-49.212
"6.12",8.0000,-48.961
"6.18",2.0000,-48.327
"3.61",16.0000,-47.482
"3.38",0.2500,-47.478
"3.60",16.0000,-46.869
"3.43",2.0000,-46.087
