"Title","MIC","docking score"
"5.54",16.0000,-8.805
"5.64",8.0000,-8.790
"3.12",2.0000,-8.159
"3.52",0.2500,-7.557
"5.53",1.0000,-8.417
"5.52",0.0630,-8.361
"4.77",16.0000,-8.312
"3.58",0.2500,-7.228
"5.60",0.5000,-8.100
"5.65",16.0000,-8.136
"4.50",16.0000,-8.047
"5.50",0.2500,-8.047
"3.57",1.0000,-7.752
"3.31",8.0000,-6.754
"3.59",8.0000,-7.977
"3.53",4.0000,-6.982
"3.61",16.0000,-7.928
"3.12",2.0000,-7.644
"3.17",1.0000,-7.907
"3.50",0.0630,-7.891
"5.51",0.0630,-7.839
"3.52",0.2500,-7.681
"6.21",0.0200,-7.792
"3.43",2.0000,-7.736
"6.25",0.0300,-7.762
"5.49",0.0310,-7.705
"3.30",4.0000,-6.538
"5.48",16.0000,-7.628
"5.12",0.0630,-7.616
"3.6",0.2500,-7.613
"4.55",1.0000,-7.608
"3.58",0.2500,-7.476
"3.44",8.0000,-7.533
"3.15",0.5000,-6.230
"3.27",8.0000,-7.394
"3.42",4.0000,-6.532
"3.28",8.0000,-7.391
"3.62",2.0000,-7.408
"3.8",0.2500,-7.345
"5.59",0.1250,-7.344
"3.25",0.2500,-7.317
"3.54",0.1250,-7.373
"3.9",1.5000,-7.335
"3.42",4.0000,-7.186
"3.22",4.0000,-7.349
"4.87",16.0000,-7.310
"3.60",16.0000,-7.281
"3.49",0.0630,-7.318
"3.57",1.0000,-6.771
"5.18",0.0630,-7.241
"5.47",0.2500,-7.229
"3.21",4.0000,-7.264
"3.51",0.5000,-7.264
"4.54",0.5000,-7.223
"3.7",0.5000,-7.208
"3.37",1.0000,-7.217
"3.36",4.0000,-7.180
"3.48",0.1300,-7.158
"5.63",0.0630,-7.155
"5.9",0.1250,-7.129
"3.55",1.0000,-7.163
"4.63",0.1250,-7.117
"4.38",0.0300,-7.113
"6.18",2.0000,-7.108
"3.10",8.0000,-7.095
"3.53",4.0000,-7.002
"3.56",0.5000,-7.116
"5.46",0.0630,-7.072
"4.58",0.0160,-7.045
"3.26",0.1200,-7.069
"5.26",0.1250,-7.026
"3.46",0.2500,-7.038
"3.34",0.2500,-7.031
"5.17",0.0310,-7.013
"4.51",0.0630,-7.002
"3.23",8.0000,-6.991
"4.81",1.0000,-6.990
"3.35",1.0000,-7.002
"3.11",8.0000,-6.970
"5.45",0.0310,-6.945
"3.14",4.0000,-6.943
"5.20",1.0000,-6.933
"4.41",0.0500,-6.933
"5.61",1.0000,-6.909
"4.56",0.5000,-6.905
"2.8",2.0000,-6.903
"5.19",0.2500,-6.896
"3.18",0.5000,-6.931
"3.38",0.2500,-6.899
"4.37",0.0160,-6.870
"6.5",0.0200,-6.864
"6.16",0.2500,-6.864
"5.21",0.0630,-6.856
"2.7",0.2500,-6.851
"3.4",0.2500,-6.851
"5.10",0.0630,-6.842
"5.62",0.1250,-6.840
"3.47",0.2500,-6.836
"3.29",2.0000,-6.836
"3.15",0.5000,-6.796
"4.39",0.0300,-6.836
"4.76",8.0000,-6.831
"3.24",2.0000,-6.822
"4.57",0.0310,-6.825
"5.67",0.1250,-6.821
"4.67",0.2500,-6.817
"4.53",0.2500,-6.816
"3.33",0.2500,-6.833
"3.32",0.1200,-6.831
"4.78",1.0000,-6.809
"3.16",1.5000,-6.827
"5.14",0.0630,-6.805
"5.16",0.0160,-6.800
"3.31",8.0000,-6.744
"5.8",0.0630,-6.773
"5.13",0.0160,-6.769
"4.59",0.0630,-6.763
"4.79",1.0000,-6.755
"4.72",0.1250,-6.745
"3.40",8.0000,-6.772
"5.11",0.1250,-6.733
"4.73",0.5000,-6.718
"4.62",8.0000,-6.717
"3.39",2.0000,-6.397
"3.13",8.0000,-6.674
"4.49",0.0630,-6.671
"4.69",2.0000,-6.666
"6.8",0.0600,-6.656
"3.41",8.0000,-6.690
"3.45",0.5000,-6.658
"3.39",2.0000,-6.104
"6.6",0.0200,-6.615
"5.23",0.1250,-6.586
"4.44",0.1250,-6.572
"4.66",8.0000,-6.568
"5.6",0.0310,-6.566
"5.66",0.1250,-6.563
"4.71",16.0000,-6.526
"AM8192",0.0600,-6.511
"6.23",0.0300,-6.501
"4.52",2.0000,-6.504
"4.46",0.5000,-6.534
"5.5",0.5000,-6.534
"4.75",16.0000,-6.494
"4.47",0.2500,-6.488
"6.7",4.0000,-6.481
"5.31",0.5000,-6.475
"3.30",4.0000,-6.412
"4.70",0.1250,-6.470
"4.6",0.0160,-6.464
"5.3",0.0160,-6.464
"AM8085",0.0160,-6.464
"5.7",0.2500,-6.459
"4.82",2.0000,-6.455
"4.42",4.0000,-6.444
"4.40",0.0600,-6.442
"4.48",0.5000,-6.410
"5.15",0.0310,-6.404
"4.64",16.0000,-6.397
"6.24",16.0000,-6.394
"4.36",0.0310,-6.385
"4.43",0.2500,-6.330
"AM8191",0.0200,-6.326
"4.35",0.0080,-6.311
"4.86",16.0000,-6.306
"4.85",64.0000,-6.306
"5.32",1.0000,-6.295
"5.30",0.5000,-6.292
"6.19",0.1300,-6.164
"6.10",1.0600,-6.214
"6.12",8.0000,-6.209
"4.68",0.5000,-6.190
"4.83",64.0000,-6.180
"6.19",0.1300,-5.077
"6.9",0.5000,-6.168
"6.13",0.2500,-6.148
"5.29",0.2500,-6.135
"5.33",0.2500,-6.168
"6.11",2.0000,-6.126
"6.14",0.5000,-6.117
"4.45",0.0310,-5.680
"4.60",8.0000,-6.136
"4.74",4.0000,-6.066
"6.22",0.0300,-6.092
"4.45",0.0310,-5.547
"4.65",16.0000,-6.020
"5.28",0.2500,-5.910
"4.84",32.0000,-5.766
"4.80",8.0000,-5.685
"4.61",32.0000,-4.768
"6.20",16.0000,-4.742
