"Title","MIC","MMGBSA dG Bind"
"3.6",0.2500,-73.876
"3.34",0.2500,-73.467
"3.25",0.2500,-73.371
"3.58",0.2500,-71.738
"3.26",0.1200,-71.065
"6.5",0.0200,-70.762
"3.8",0.2500,-70.303
"4.87",16.0000,-70.216
"3.24",2.0000,-68.976
"3.58",0.2500,-68.674
"3.21",4.0000,-68.542
"3.28",8.0000,-68.331
"3.41",8.0000,-68.263
"4.55",1.0000,-68.060
"3.43",2.0000,-67.762
"3.22",4.0000,-67.365
"3.12",2.0000,-67.053
"2.8",2.0000,-66.698
"3.39",2.0000,-66.678
"6.8",0.0600,-66.387
"3.48",0.1300,-66.298
"6.16",0.2500,-66.202
"6.19",0.1300,-66.139
"4.54",0.5000,-66.138
"6.25",0.0300,-65.975
"4.44",0.1250,-65.962
"4.79",1.0000,-65.793
"3.9",1.5000,-65.726
"4.77",16.0000,-65.672
"3.62",2.0000,-65.613
"3.42",4.0000,-65.349
"3.30",4.0000,-65.248
"4.63",0.1250,-65.211
"4.53",0.2500,-65.029
"4.67",0.2500,-64.798
"4.72",0.1250,-64.718
"3.53",4.0000,-64.694
"4.43",0.2500,-64.473
"4.78",1.0000,-64.464
"4.80",8.0000,-64.301
"3.47",0.2500,-64.195
"3.35",1.0000,-64.149
"6.24",16.0000,-64.001
"3.51",0.5000,-63.842
"4.81",1.0000,-63.603
"3.11",8.0000,-63.467
"4.68",0.5000,-63.423
"AM8191",0.0200,-63.279
"4.36",0.0310,-63.184
"3.54",0.1250,-63.005
"3.16",1.5000,-62.882
"4.73",0.5000,-62.799
"AM8192",0.0600,-62.605
"4.35",0.0080,-62.526
"3.40",8.0000,-62.460
"4.45",0.0310,-62.447
"3.49",0.0630,-62.365
"6.23",0.0300,-62.338
"3.39",2.0000,-62.312
"4.84",32.0000,-62.276
"4.74",4.0000,-62.130
"3.32",0.1200,-62.072
"6.13",0.2500,-61.872
"4.37",0.0160,-61.857
"6.18",2.0000,-61.833
"3.50",0.0630,-61.712
"3.10",8.0000,-61.682
"3.29",2.0000,-61.551
"4.42",4.0000,-61.386
"4.46",0.5000,-61.299
"4.70",0.1250,-61.247
"AM8085",0.0160,-61.235
"4.69",2.0000,-61.235
"4.6",0.0160,-61.122
"6.7",4.0000,-61.084
"4.49",0.0630,-60.982
"3.52",0.2500,-60.934
"3.55",1.0000,-60.921
"6.21",0.0200,-60.670
"3.12",2.0000,-60.591
"4.38",0.0300,-60.504
"4.76",8.0000,-60.407
"4.51",0.0630,-60.384
"4.82",2.0000,-60.260
"3.33",0.2500,-60.258
"3.52",0.2500,-60.228
"4.50",16.0000,-60.224
"3.30",4.0000,-60.103
"3.18",0.5000,-59.718
"4.40",0.0600,-59.619
"4.45",0.0310,-59.532
"3.59",8.0000,-59.508
"6.10",1.0600,-59.423
"3.7",0.5000,-59.377
"2.7",0.2500,-59.363
"3.4",0.2500,-59.363
"4.62",8.0000,-59.133
"3.42",4.0000,-59.054
"3.17",1.0000,-58.997
"3.31",8.0000,-58.956
"4.52",2.0000,-58.923
"4.58",0.0160,-58.679
"4.48",0.5000,-58.556
"4.41",0.0500,-58.554
"3.31",8.0000,-58.404
"4.85",64.0000,-58.124
"4.86",16.0000,-58.121
"6.20",16.0000,-58.109
"4.57",0.0310,-58.036
"4.66",8.0000,-58.027
"4.47",0.2500,-57.972
"4.56",0.5000,-57.402
"4.59",0.0630,-57.371
"6.6",0.0200,-56.999
"3.14",4.0000,-56.946
"3.53",4.0000,-56.640
"3.27",8.0000,-56.560
"3.57",1.0000,-56.412
"4.39",0.0300,-56.222
"6.12",8.0000,-56.142
"3.15",0.5000,-55.869
"3.15",0.5000,-55.778
"3.56",0.5000,-54.797
"6.9",0.5000,-54.748
"3.46",0.2500,-54.123
"3.57",1.0000,-53.668
"4.71",16.0000,-53.608
"3.36",4.0000,-52.725
"4.65",16.0000,-52.535
"6.14",0.5000,-52.448
"3.37",1.0000,-51.183
"4.75",16.0000,-50.221
"3.38",0.2500,-49.417
"3.45",0.5000,-49.370
"4.83",64.0000,-49.181
"3.44",8.0000,-48.789
"6.11",2.0000,-48.686
"3.61",16.0000,-47.926
"4.64",16.0000,-47.081
"3.60",16.0000,-46.946
"3.23",8.0000,-39.958
"4.60",8.0000,-39.439
"3.13",8.0000,-37.823
"6.19",0.1300,-34.621
"6.22",0.0300,-16.880
"4.61",32.0000,-7.767
