"Title","MIC","MMGBSA dG Bind"
"6.5",0.0200,-68.240
"6.8",0.0600,-65.740
"6.16",0.2500,-64.413
"AM8191",0.0200,-63.687
"6.25",0.0300,-63.681
"6.13",0.2500,-63.577
"6.24",16.0000,-63.245
"6.23",0.0300,-61.217
"6.7",4.0000,-60.172
"6.10",1.0600,-59.860
"2.7",0.2500,-59.306
"6.18",2.0000,-58.942
"6.11",2.0000,-58.639
"6.21",0.0200,-58.615
"6.12",8.0000,-57.991
"6.6",0.0200,-55.517
"6.14",0.5000,-53.327
"6.9",0.5000,-52.247
"6.22",0.0300,-51.895
"6.19",0.1300,-49.838
"6.19",0.1300,-46.262
"6.20",16.0000,-28.064
