"Title","MIC","MMGBSA dG Bind"
"5.65",16.0000,-76.399
"3.38",0.2500,-76.053
"3.37",1.0000,-75.920
"3.34",0.2500,-75.347
"3.58",0.2500,-74.581
"3.25",0.2500,-73.550
"4.60",8.0000,-73.002
"5.64",8.0000,-70.832
"5.53",1.0000,-70.744
"3.36",4.0000,-69.944
"3.26",0.1200,-69.561
"3.44",8.0000,-68.786
"3.42",4.0000,-68.607
"3.58",0.2500,-68.519
"5.47",0.2500,-68.321
"5.67",0.1250,-67.694
"5.31",0.5000,-67.536
"6.5",0.0200,-67.087
"3.47",0.2500,-67.014
"3.21",4.0000,-66.729
"3.48",0.1300,-66.592
"6.12",8.0000,-66.587
"3.39",2.0000,-66.375
"6.16",0.2500,-65.998
"3.42",4.0000,-65.987
"5.59",0.1250,-65.940
"3.22",4.0000,-65.486
"3.41",8.0000,-65.264
"5.50",0.2500,-64.949
"3.27",8.0000,-64.785
"4.61",32.0000,-64.752
"3.32",0.1200,-64.741
"5.32",1.0000,-64.708
"3.8",0.2500,-64.461
"4.49",0.0630,-64.345
"3.35",1.0000,-64.339
"5.21",0.0630,-64.308
"5.19",0.2500,-64.288
"3.40",8.0000,-64.260
"3.43",2.0000,-64.132
"3.6",0.2500,-64.065
"5.30",0.5000,-64.059
"4.72",0.1250,-64.019
"AM8191",0.0200,-63.931
"3.51",0.5000,-63.921
"6.18",2.0000,-63.779
"3.24",2.0000,-63.691
"5.26",0.1250,-63.640
"3.61",16.0000,-63.638
"3.29",2.0000,-63.531
"4.50",16.0000,-63.520
"4.59",0.0630,-63.505
"5.60",0.5000,-63.393
"5.63",0.0630,-63.383
"4.78",1.0000,-63.244
"3.53",4.0000,-63.225
"5.23",0.1250,-63.142
"3.39",2.0000,-63.082
"5.12",0.0630,-63.035
"6.8",0.0600,-62.886
"3.10",8.0000,-62.775
"3.12",2.0000,-62.300
"5.52",0.0630,-62.287
"6.7",4.0000,-62.055
"5.54",16.0000,-61.881
"5.61",1.0000,-61.702
"3.33",0.2500,-61.648
"5.20",1.0000,-61.629
"5.49",0.0310,-61.619
"5.29",0.2500,-61.455
"6.23",0.0300,-61.356
"5.7",0.2500,-61.102
