"Title","MIC","MMGBSA dG Bind"
"3.26",0.1200,-75.767
"3.34",0.2500,-75.495
"3.58",0.2500,-75.185
"3.25",0.2500,-73.604
"3.58",0.2500,-73.059
"3.39",2.0000,-72.320
"3.41",8.0000,-72.090
"3.47",0.2500,-71.671
"3.30",4.0000,-70.983
"3.48",0.1300,-70.826
"3.24",2.0000,-68.900
"3.54",0.1250,-68.798
"3.30",4.0000,-68.790
"5.51",0.0630,-68.688
"6.5",0.0200,-68.685
"3.43",2.0000,-68.394
"3.51",0.5000,-68.236
"3.39",2.0000,-67.691
"3.50",0.0630,-67.558
"3.8",0.2500,-67.329
"3.18",0.5000,-67.289
"3.35",1.0000,-67.037
"3.32",0.1200,-66.911
"3.31",8.0000,-66.080
"5.18",0.0630,-66.058
"4.50",16.0000,-66.025
"5.61",1.0000,-65.789
"5.59",0.1250,-65.715
"4.67",0.2500,-65.647
"3.33",0.2500,-65.600
"5.60",0.5000,-65.552
"3.40",8.0000,-65.353
"3.29",2.0000,-65.018
"3.31",8.0000,-64.887
"5.17",0.0310,-64.695
"4.49",0.0630,-64.446
"3.49",0.0630,-64.419
"5.49",0.0310,-64.392
"6.24",16.0000,-64.291
"4.35",0.0080,-63.928
"4.81",1.0000,-63.905
"6.21",0.0200,-63.747
"4.53",0.2500,-63.694
"4.77",16.0000,-63.562
"5.8",0.0630,-63.474
"3.12",2.0000,-63.438
"3.9",1.5000,-63.435
"3.55",1.0000,-63.430
"6.19",0.1300,-63.023
"4.73",0.5000,-62.871
"3.16",1.5000,-62.712
"4.78",1.0000,-62.688
"5.67",0.1250,-62.627
"4.45",0.0310,-62.576
"5.46",0.0630,-62.446
"5.19",0.2500,-62.439
"4.37",0.0160,-62.384
"6.7",4.0000,-62.339
"4.36",0.0310,-62.220
"4.42",4.0000,-62.143
"4.6",0.0160,-62.080
"5.3",0.0160,-62.080
"3.52",0.2500,-62.075
"4.59",0.0630,-62.049
"5.65",16.0000,-62.030
"AM8085",0.0160,-61.969
"3.21",4.0000,-61.832
"3.7",0.5000,-61.772
"3.12",2.0000,-61.670
"6.8",0.0600,-61.510
"4.45",0.0310,-61.299
"3.52",0.2500,-61.158
"6.25",0.0300,-61.141
"4.43",0.2500,-61.131
"5.29",0.2500,-60.866
"3.62",2.0000,-60.852
"2.7",0.2500,-60.821
"3.4",0.2500,-60.821
"AM8191",0.0200,-60.802
"3.59",8.0000,-60.701
"5.11",0.1250,-60.499
"5.20",1.0000,-60.415
"4.55",1.0000,-60.342
"5.63",0.0630,-60.330
"5.31",0.5000,-60.314
"5.15",0.0310,-60.266
"3.22",4.0000,-60.146
"5.21",0.0630,-60.134
"4.70",0.1250,-60.131
"4.39",0.0300,-60.010
"5.48",16.0000,-59.869
"4.44",0.1250,-59.831
"3.10",8.0000,-59.747
"5.47",0.2500,-59.742
"4.69",2.0000,-59.708
"3.15",0.5000,-59.697
"5.9",0.1250,-59.643
"6.13",0.2500,-59.536
"4.75",16.0000,-59.463
"5.7",0.2500,-59.458
"3.11",8.0000,-59.361
"4.79",1.0000,-59.334
"5.32",1.0000,-59.172
"5.23",0.1250,-59.129
"4.41",0.0500,-59.087
"4.48",0.5000,-59.041
"3.57",1.0000,-58.919
"4.68",0.5000,-58.910
"4.56",0.5000,-58.868
"4.40",0.0600,-58.845
"4.51",0.0630,-58.731
"5.64",8.0000,-58.621
"4.57",0.0310,-58.531
"4.76",8.0000,-58.464
"AM8192",0.0600,-58.460
"4.72",0.1250,-58.347
"5.12",0.0630,-58.302
"3.14",4.0000,-58.206
"5.10",0.0630,-58.162
"6.6",0.0200,-58.122
"4.38",0.0300,-58.115
"5.26",0.1250,-58.078
"4.82",2.0000,-58.062
"5.45",0.0310,-58.036
"4.87",16.0000,-57.979
"5.62",0.1250,-57.772
"4.63",0.1250,-57.712
"6.23",0.0300,-57.698
"5.53",1.0000,-57.560
"3.56",0.5000,-57.362
"4.46",0.5000,-57.358
"5.5",0.5000,-57.358
"5.52",0.0630,-57.172
"5.54",16.0000,-57.143
"4.54",0.5000,-57.128
"5.13",0.0160,-57.074
"4.52",2.0000,-56.938
"4.84",32.0000,-56.930
"4.65",16.0000,-56.404
"4.86",16.0000,-55.950
"4.66",8.0000,-55.928
"4.85",64.0000,-55.792
"4.71",16.0000,-55.510
"5.16",0.0160,-55.507
"3.17",1.0000,-55.455
"2.8",2.0000,-55.436
"5.50",0.2500,-55.374
"4.47",0.2500,-55.203
"3.53",4.0000,-55.132
"3.23",8.0000,-55.131
"3.45",0.5000,-55.056
"5.66",0.1250,-54.989
"5.6",0.0310,-54.627
"3.57",1.0000,-54.453
"5.30",0.5000,-54.299
"5.33",0.2500,-53.892
"6.22",0.0300,-53.817
"3.37",1.0000,-53.770
"3.46",0.2500,-53.432
"6.10",1.0600,-53.142
"3.36",4.0000,-52.976
"6.19",0.1300,-52.567
"4.58",0.0160,-52.535
"4.60",8.0000,-52.052
"3.42",4.0000,-51.190
"3.27",8.0000,-50.796
"3.38",0.2500,-49.658
"3.61",16.0000,-49.406
"5.28",0.2500,-49.361
"6.11",2.0000,-49.325
"3.15",0.5000,-49.260
"6.9",0.5000,-49.252
"3.6",0.2500,-49.019
"4.83",64.0000,-48.859
"3.44",8.0000,-47.896
"6.14",0.5000,-47.455
"3.42",4.0000,-47.364
"3.60",16.0000,-46.982
"4.74",4.0000,-46.554
"6.18",2.0000,-45.831
"4.62",8.0000,-45.182
"5.14",0.0630,-44.996
"4.64",16.0000,-43.687
"3.28",8.0000,-42.732
"3.53",4.0000,-42.099
"4.61",32.0000,-41.598
"6.12",8.0000,-38.418
"6.16",0.2500,-33.843
"3.13",8.0000,-33.754
"4.80",8.0000,-32.213
"6.20",16.0000,-28.861
