"Title","MIC","docking score"
"5.54",16.0000,-8.805
"5.64",8.0000,-8.790
"5.53",1.0000,-8.417
"5.52",0.0630,-8.361
"5.60",0.5000,-8.100
"5.65",16.0000,-8.136
"5.50",0.2500,-8.047
"5.51",0.0630,-7.839
"5.49",0.0310,-7.705
"5.48",16.0000,-7.628
"5.12",0.0630,-7.616
"5.59",0.1250,-7.344
"5.18",0.0630,-7.241
"5.47",0.2500,-7.229
"5.63",0.0630,-7.155
"5.9",0.1250,-7.129
"5.46",0.0630,-7.072
"5.26",0.1250,-7.026
"5.17",0.0310,-7.013
"5.45",0.0310,-6.945
"5.20",1.0000,-6.933
"5.61",1.0000,-6.909
"5.19",0.2500,-6.896
"5.21",0.0630,-6.856
"2.7",0.2500,-6.851
"5.10",0.0630,-6.842
"5.62",0.1250,-6.840
"5.67",0.1250,-6.821
"5.14",0.0630,-6.805
"5.16",0.0160,-6.800
"5.8",0.0630,-6.773
"5.13",0.0160,-6.769
"5.11",0.1250,-6.733
"5.23",0.1250,-6.586
"5.6",0.0310,-6.566
"5.66",0.1250,-6.563
"5.5",0.5000,-6.534
"5.31",0.5000,-6.475
"5.3",0.0160,-6.464
"5.7",0.2500,-6.459
"5.15",0.0310,-6.404
"AM8191",0.0200,-6.326
"5.32",1.0000,-6.295
"5.30",0.5000,-6.292
"5.29",0.2500,-6.135
"5.33",0.2500,-6.168
"5.28",0.2500,-5.910
