"Title","MIC","MMGBSA dG Bind"
"3.34",0.2500,-76.070
"3.58",0.2500,-75.185
"3.25",0.2500,-74.788
"3.39",2.0000,-73.138
"3.58",0.2500,-73.059
"3.41",8.0000,-72.006
"3.47",0.2500,-71.594
"3.48",0.1300,-70.688
"6.5",0.0200,-69.862
"3.43",2.0000,-69.584
"3.26",0.1200,-68.878
"3.32",0.1200,-68.867
"5.51",0.0630,-68.753
"3.33",0.2500,-67.981
"5.53",1.0000,-67.892
"3.18",0.5000,-67.885
"3.30",4.0000,-67.732
"3.39",2.0000,-67.724
"3.40",8.0000,-67.474
"3.31",8.0000,-67.447
"3.8",0.2500,-67.436
"3.29",2.0000,-67.211
"3.35",1.0000,-67.037
"3.24",2.0000,-66.374
"3.12",2.0000,-66.362
"3.30",4.0000,-66.349
"4.36",0.0310,-66.195
"3.9",1.5000,-66.150
"3.54",0.1250,-65.826
"5.61",1.0000,-65.667
"4.67",0.2500,-65.647
"3.31",8.0000,-65.453
"5.60",0.5000,-64.790
"5.59",0.1250,-64.510
"3.50",0.0630,-64.296
"4.37",0.0160,-63.580
"4.50",16.0000,-63.517
"4.77",16.0000,-63.511
"6.24",16.0000,-63.467
"4.87",16.0000,-63.138
"4.75",16.0000,-63.051
"3.51",0.5000,-62.974
"3.21",4.0000,-62.950
"4.63",0.1250,-62.939
"4.73",0.5000,-62.814
"6.7",4.0000,-62.792
"6.8",0.0600,-62.703
"4.49",0.0630,-62.702
"5.67",0.1250,-62.627
"3.49",0.0630,-62.569
"4.35",0.0080,-62.406
"4.44",0.1250,-62.392
"4.79",1.0000,-62.360
"5.17",0.0310,-62.348
"4.42",4.0000,-62.146
"3.52",0.2500,-62.097
"5.7",0.2500,-62.021
"5.15",0.0310,-61.871
"4.59",0.0630,-61.841
"3.7",0.5000,-61.807
"4.55",1.0000,-61.781
"4.78",1.0000,-61.674
"4.43",0.2500,-61.654
"4.45",0.0310,-61.299
"6.21",0.0200,-61.283
"4.81",1.0000,-61.265
"2.7",0.2500,-61.159
"3.4",0.2500,-61.159
"6.25",0.0300,-61.125
"4.62",8.0000,-61.120
"3.52",0.2500,-61.111
"3.16",1.5000,-61.022
"4.53",0.2500,-61.007
"5.49",0.0310,-60.913
"3.59",8.0000,-60.714
"5.65",16.0000,-60.685
"5.8",0.0630,-60.463
"3.14",4.0000,-60.348
"4.71",16.0000,-60.146
"3.17",1.0000,-60.063
"4.69",2.0000,-60.001
"4.51",0.0630,-60.000
"5.21",0.0630,-59.971
"5.11",0.1250,-59.971
"4.6",0.0160,-59.895
"5.3",0.0160,-59.895
"AM8085",0.0160,-59.893
"5.30",0.5000,-59.887
"4.45",0.0310,-59.881
"4.76",8.0000,-59.822
"3.62",2.0000,-59.787
"6.6",0.0200,-59.779
"5.31",0.5000,-59.767
"5.46",0.0630,-59.766
"3.55",1.0000,-59.724
"3.15",0.5000,-59.697
"5.9",0.1250,-59.498
"5.29",0.2500,-59.484
"5.23",0.1250,-59.447
"5.28",0.2500,-59.395
"5.66",0.1250,-59.327
"4.57",0.0310,-59.127
"4.68",0.5000,-59.049
"4.48",0.5000,-59.041
"4.40",0.0600,-58.837
"4.56",0.5000,-58.830
"5.50",0.2500,-58.776
"5.12",0.0630,-58.736
"5.32",1.0000,-58.709
"5.26",0.1250,-58.618
"3.56",0.5000,-58.467
"5.13",0.0160,-58.354
"4.66",8.0000,-58.335
"AM8192",0.0600,-58.222
"2.8",2.0000,-58.173
"4.39",0.0300,-58.109
"6.13",0.2500,-58.060
"5.10",0.0630,-58.055
"4.54",0.5000,-57.890
"6.23",0.0300,-57.866
"AM8191",0.0200,-57.850
"5.47",0.2500,-57.835
"5.48",16.0000,-57.692
"5.20",1.0000,-57.443
"4.46",0.5000,-57.358
"5.5",0.5000,-57.358
"5.52",0.0630,-57.285
"3.10",8.0000,-57.014
"4.52",2.0000,-56.938
"4.58",0.0160,-56.877
"5.14",0.0630,-56.690
"3.53",4.0000,-56.567
"4.70",0.1250,-56.504
"4.65",16.0000,-56.402
"5.18",0.0630,-56.361
"4.41",0.0500,-56.023
"3.22",4.0000,-55.998
"4.82",2.0000,-55.955
"3.23",8.0000,-55.892
"5.63",0.0630,-55.877
"5.64",8.0000,-55.843
"4.74",4.0000,-55.832
"4.85",64.0000,-55.752
"4.72",0.1250,-55.548
"4.47",0.2500,-55.435
"5.19",0.2500,-55.352
"5.16",0.0160,-55.313
"4.84",32.0000,-55.254
"3.45",0.5000,-54.966
"5.6",0.0310,-54.810
"3.37",1.0000,-54.719
"5.45",0.0310,-54.667
"3.57",1.0000,-54.497
"3.36",4.0000,-54.318
"5.33",0.2500,-54.105
"3.57",1.0000,-54.092
"6.19",0.1300,-53.308
"3.11",8.0000,-53.306
"4.86",16.0000,-53.229
"3.38",0.2500,-52.777
"4.38",0.0300,-52.708
"5.54",16.0000,-52.662
"3.42",4.0000,-52.244
"4.61",32.0000,-52.020
"5.62",0.1250,-51.707
"6.11",2.0000,-51.377
"3.46",0.2500,-50.867
"4.60",8.0000,-50.443
"6.18",2.0000,-50.092
"6.10",1.0600,-49.415
"3.6",0.2500,-49.408
"3.60",16.0000,-49.331
"4.83",64.0000,-49.317
"6.9",0.5000,-49.252
"3.12",2.0000,-49.198
"3.44",8.0000,-48.817
"3.61",16.0000,-47.529
"6.14",0.5000,-47.455
"3.27",8.0000,-47.394
"3.42",4.0000,-47.364
"3.15",0.5000,-47.034
"6.16",0.2500,-43.458
"6.12",8.0000,-42.818
"3.28",8.0000,-42.758
"3.53",4.0000,-41.992
"6.22",0.0300,-39.311
"3.13",8.0000,-36.892
"6.19",0.1300,-33.996
