Title,MIC,docking score
2.7,0.25,-7.001
2.8,2,-6.879
3.1,8,-6.389
3.11,8,-5.503
3.12,2,-8.206
3.12,2,-7.901
3.13,8,-7.646
3.14,4,-7.181
3.15,0.5,-6.434
3.15,0.5,-7.045
3.16,1.5,-7.319
3.17,1,-8.314
3.18,0.5,-7.108
3.21,4,-7.53
3.22,4,-7.034
3.23,8,-6.23
3.24,2,-6.541
3.25,0.25,-7.354
3.26,0.12,-7.517
3.27,8,-6.247
3.28,8,-6.183
3.29,2,-6.868
3.3,4,-6.816
3.3,4,-6.822
3.31,8,-6.905
3.31,8,-7.041
3.32,0.12,-7.153
3.33,0.25,-6.835
3.34,0.25,-7.334
3.35,1,-6.843
3.36,4,-7.405
3.37,1,-7.479
3.38,0.25,-6.572
3.39,2,-7.047
3.39,2,-6.514
3.4,0.25,-7.203
3.4,8,-7.001
3.41,8,-7.169
3.42,4,-6.734
3.42,4,-4.67
3.43,2,-7.104
3.44,8,-6.878
3.45,0.5,-6.492
3.46,0.25,-6.887
3.47,0.25,-7.049
3.48,0.13,-7.218
3.49,0.063,-7.376
3.5,0.063,-7.326
3.51,0.5,-7.096
3.52,0.25,-6.374
3.52,0.25,-6.066
3.53,4,-6.288
3.53,4,-5.901
3.54,0.125,-7.785
3.55,1,-7.532
3.56,0.5,-6.416
3.57,1,-6.934
3.57,1,-6.494
3.58,0.25,-7.626
3.58,0.25,-7.456
3.59,8,-7.601
3.6,0.25,-7.241
3.6,16,-5.907
3.61,16,-6.852
3.62,2,-7.409
3.7,0.5,-7.256
3.8,0.25,-7.44
3.9,1.5,-5.984
4.35,0.008,-6.355
4.36,0.031,-6.419
4.37,0.016,-6.515
4.38,0.03,-6.905
4.39,0.03,-5.609
4.4,0.06,-6.832
4.41,0.05,-6.229
4.42,4,-6.606
4.43,0.25,-6.094
4.44,0.125,-6.187
4.45,0.031,-5.855
4.45,0.031,-5.643
4.46,0.5,-6.49
4.47,0.25,-6.272
4.48,0.5,-6.508
4.49,0.063,-6.608
4.5,16,-7.814
4.51,0.063,-6.475
4.52,2,-6.37
4.53,0.25,-6.918
4.54,0.5,-6.162
4.55,1,-8.178
4.56,0.5,-5.849
4.57,0.031,-6.898
4.58,0.016,-6.751
4.59,0.063,-7.42
4.6,0.016,-7.322
4.6,8,-6.536
4.61,32,-6.003
4.62,8,-5.227
4.63,0.125,-7.936
4.64,16,-6.474
4.65,16,-7.118
4.66,8,-6.476
4.67,0.25,-7.001
4.68,0.5,-6.453
4.69,2,-5.325
4.7,0.125,-6.531
4.71,16,-5.349
4.72,0.125,-6.522
4.73,0.5,-6.474
4.74,4,-6.404
4.75,16,-5.469
4.76,8,-5.204
4.77,16,-6.769
4.78,1,-6.93
4.79,1,-7.611
4.8,8,-7.103
4.81,1,-7.238
4.82,2,-6.762
4.83,64,-6.712
4.84,32,-6.902
4.85,64,-6.113
4.86,16,-6.14
4.87,16,-6.728
5.1,0.063,-6.885
5.11,0.125,-6.774
5.12,0.063,-6.945
5.13,0.016,-6.805
5.14,0.063,-3.038
5.15,0.031,-6.423
5.16,0.016,-6.918
5.17,0.031,-6.676
5.18,0.063,-7.541
5.19,0.25,-6.972
5.2,1,-7.014
5.21,0.063,-6.69
5.23,0.125,-7.209
5.26,0.125,-7.033
5.28,0.25,-5.512
5.29,0.25,-5.897
5.3,0.016,-6.536
5.3,0.5,-6.496
5.31,0.5,-6.748
5.32,1,-6.28
5.33,0.25,-5.688
5.45,0.031,-7.036
5.46,0.063,-6.938
5.47,0.25,-7.259
5.48,16,-7.988
5.49,0.031,-7.693
5.5,0.25,-8.169
5.5,0.5,-6.49
5.51,0.063,-7.505
5.52,0.063,-8.352
5.53,1,-8.801
5.54,16,-8.877
5.59,0.125,-7.222
5.6,0.5,-8.209
5.6,0.031,-6.42
5.61,1,-7.053
5.62,0.125,-7.011
5.63,0.063,-7.992
5.64,8,-8.56
5.65,16,-9.514
5.66,0.125,-6.391
5.67,0.125,-6.932
5.7,0.25,-6.277
5.8,0.063,-6.824
5.9,0.125,-7.292
6.1,1.06,-6.54
6.11,2,-6.2
6.12,8,-5.934
6.13,0.25,-6.578
6.14,0.5,-6.32
6.16,0.25,-6.56
6.18,2,-6.802
6.19,0.13,-6.296
6.19,0.13,-7.012
6.2,16,-6.367
6.21,0.02,-7.635
6.22,0.03,-7.3
6.23,0.03,-6.821
6.24,16,-6.53
6.25,0.03,-7.744
6.5,0.02,-6.937
6.6,0.02,-6.643
6.7,4,-6.271
6.8,0.06,-6.51
6.9,0.5,-5.986
AM8085,0.016,-6.536
AM8191,0.02,-6.691
AM8192,0.06,-6.754
