"Title","MIC","docking score"
"5.54",16.0000,-8.772
"3.12",2.0000,-8.081
"5.64",8.0000,-8.478
"5.52",0.0630,-8.453
"3.17",1.0000,-8.435
"3.15",0.5000,-7.156
"5.53",1.0000,-8.300
"3.58",0.2500,-7.296
"5.65",16.0000,-8.272
"3.31",8.0000,-7.012
"3.52",0.2500,-7.234
"3.61",16.0000,-8.076
"3.59",8.0000,-8.086
"6.25",0.0300,-8.062
"5.50",0.2500,-7.918
"3.30",4.0000,-6.784
"4.77",16.0000,-7.869
"5.49",0.0310,-7.867
"5.48",16.0000,-7.863
"3.57",1.0000,-7.555
"5.60",0.5000,-7.819
"4.50",16.0000,-7.809
"5.63",0.0630,-7.788
"3.53",4.0000,-6.798
"6.21",0.0200,-7.691
"4.55",1.0000,-7.622
"5.51",0.0630,-7.610
"3.44",8.0000,-7.617
"3.53",4.0000,-7.482
"3.62",2.0000,-7.591
"5.59",0.1250,-7.546
"3.26",0.1200,-7.551
"3.37",1.0000,-7.523
"5.12",0.0630,-7.493
"3.43",2.0000,-7.479
"4.53",0.2500,-7.466
"3.27",8.0000,-7.458
"3.38",0.2500,-7.446
"3.28",8.0000,-7.405
"3.22",4.0000,-7.435
"3.25",0.2500,-7.372
"3.48",0.1300,-7.343
"4.38",0.0300,-7.342
"3.42",4.0000,-6.479
"3.36",4.0000,-7.330
"4.63",0.1250,-7.306
"3.54",0.1250,-7.337
"3.51",0.5000,-7.290
"3.52",0.2500,-7.165
"3.49",0.0630,-7.287
"4.58",0.0160,-7.233
"3.23",8.0000,-7.215
"3.60",16.0000,-7.192
"3.33",0.2500,-7.216
"3.12",2.0000,-6.921
"3.50",0.0630,-7.169
"3.8",0.2500,-7.118
"4.54",0.5000,-7.112
"3.39",2.0000,-6.574
"3.58",0.2500,-7.026
"3.14",4.0000,-7.104
"2.8",2.0000,-7.101
"3.11",8.0000,-7.100
"4.59",0.0630,-7.075
"5.19",0.2500,-7.073
"3.42",4.0000,-6.935
"3.7",0.5000,-7.067
"3.16",1.5000,-7.085
"3.15",0.5000,-7.024
"3.47",0.2500,-7.056
"3.18",0.5000,-7.089
"3.21",4.0000,-7.086
"3.9",1.5000,-7.038
"5.17",0.0310,-7.037
"4.37",0.0160,-7.032
"3.34",0.2500,-7.046
"2.7",0.2500,-7.019
"3.4",0.2500,-7.019
"3.39",2.0000,-6.713
"5.62",0.1250,-7.016
"5.47",0.2500,-7.009
"4.39",0.0300,-7.008
"5.18",0.0630,-6.999
"5.61",1.0000,-6.981
"3.57",1.0000,-6.510
"6.16",0.2500,-6.975
"6.24",16.0000,-6.966
"3.56",0.5000,-6.998
"5.26",0.1250,-6.957
"3.32",0.1200,-6.975
"3.6",0.2500,-6.954
"4.72",0.1250,-6.951
"3.40",8.0000,-6.984
"3.31",8.0000,-6.906
"3.46",0.2500,-6.961
"5.46",0.0630,-6.934
"5.8",0.0630,-6.927
"3.45",0.5000,-6.943
"3.41",8.0000,-6.960
"6.18",2.0000,-6.911
"6.5",0.0200,-6.891
"5.9",0.1250,-6.893
"4.67",0.2500,-6.886
"3.29",2.0000,-6.855
"5.20",1.0000,-6.836
"3.35",1.0000,-6.854
"5.45",0.0310,-6.824
"4.51",0.0630,-6.815
"4.78",1.0000,-6.811
"3.24",2.0000,-6.801
"6.23",0.0300,-6.794
"3.13",8.0000,-6.782
"4.41",0.0500,-6.774
"4.56",0.5000,-6.771
"4.43",0.2500,-6.765
