"Title","MIC","MMGBSA dG Bind"
"3.38",0.2500,-73.009
"3.58",0.2500,-72.001
"3.34",0.2500,-71.946
"3.6",0.2500,-71.535
"3.26",0.1200,-70.236
"3.36",4.0000,-70.049
"3.25",0.2500,-69.665
"3.58",0.2500,-69.543
"4.50",16.0000,-69.213
"3.37",1.0000,-68.481
"3.8",0.2500,-67.750
"6.5",0.0200,-67.167
"3.24",2.0000,-66.598
"4.78",1.0000,-66.250
"3.22",4.0000,-65.793
"6.8",0.0600,-65.348
"3.39",2.0000,-65.338
"3.42",4.0000,-65.263
"4.55",1.0000,-65.255
"3.43",2.0000,-65.211
"3.21",4.0000,-65.112
"6.25",0.0300,-65.023
"6.19",0.1300,-64.860
"2.8",2.0000,-64.796
"4.79",1.0000,-64.736
"4.63",0.1250,-64.650
"3.12",2.0000,-64.511
"4.87",16.0000,-64.379
"4.49",0.0630,-64.121
"4.73",0.5000,-63.929
"6.7",4.0000,-63.425
"3.47",0.2500,-63.406
"3.9",1.5000,-63.019
"3.12",2.0000,-62.938
"3.42",4.0000,-62.903
"3.48",0.1300,-62.801
"3.28",8.0000,-62.758
"4.43",0.2500,-62.550
"3.40",8.0000,-62.486
"3.44",8.0000,-62.434
"4.68",0.5000,-62.362
"3.35",1.0000,-62.320
"6.24",16.0000,-62.127
"3.29",2.0000,-61.986
"4.35",0.0080,-61.971
"3.11",8.0000,-61.861
"3.30",4.0000,-61.587
"4.53",0.2500,-61.586
"3.59",8.0000,-61.532
"3.62",2.0000,-61.508
"3.49",0.0630,-61.479
"6.23",0.0300,-61.383
"6.13",0.2500,-61.374
"4.54",0.5000,-61.357
"4.59",0.0630,-61.248
"4.45",0.0310,-61.103
"4.58",0.0160,-61.101
"4.45",0.0310,-61.084
"4.74",4.0000,-61.064
"6.10",1.0600,-61.057
"4.37",0.0160,-60.959
"3.54",0.1250,-60.938
"3.41",8.0000,-60.881
"3.39",2.0000,-60.824
"3.50",0.0630,-60.604
"4.84",32.0000,-60.592
"4.40",0.0600,-60.478
"3.55",1.0000,-60.235
"AM8191",0.0200,-60.131
"3.33",0.2500,-60.056
"4.51",0.0630,-60.022
"AM8085",0.0160,-59.990
"4.6",0.0160,-59.987
"3.18",0.5000,-59.970
"3.61",16.0000,-59.629
"3.31",8.0000,-59.602
"3.32",0.1200,-59.505
"4.36",0.0310,-59.368
"2.7",0.2500,-59.306
"3.4",0.2500,-59.306
"6.14",0.5000,-59.182
"6.18",2.0000,-58.942
"4.77",16.0000,-58.824
"6.12",8.0000,-58.715
"6.21",0.0200,-58.651
"4.41",0.0500,-58.651
"4.44",0.1250,-58.597
"3.51",0.5000,-58.547
"3.10",8.0000,-58.333
"6.16",0.2500,-58.136
"4.47",0.2500,-57.835
"3.17",1.0000,-57.810
"4.81",1.0000,-57.692
"4.46",0.5000,-57.560
"4.52",2.0000,-57.500
"6.22",0.0300,-57.420
"6.11",2.0000,-57.248
"3.52",0.2500,-57.195
"4.76",8.0000,-57.052
"4.85",64.0000,-56.786
"4.86",16.0000,-56.768
"6.20",16.0000,-56.597
"4.57",0.0310,-56.491
"3.7",0.5000,-56.448
"4.38",0.0300,-56.445
"3.16",1.5000,-56.409
"4.66",8.0000,-56.394
"4.72",0.1250,-56.336
"4.56",0.5000,-55.854
"3.52",0.2500,-55.818
"AM8192",0.0600,-55.650
"6.6",0.0200,-55.518
"3.57",1.0000,-55.306
"4.67",0.2500,-55.245
"4.62",8.0000,-55.162
"4.60",8.0000,-55.105
"3.30",4.0000,-55.087
"3.14",4.0000,-55.062
"3.53",4.0000,-55.055
"3.31",8.0000,-54.900
"4.39",0.0300,-54.339
"4.82",2.0000,-53.799
"4.42",4.0000,-53.643
"3.27",8.0000,-53.397
"3.23",8.0000,-53.232
"4.70",0.1250,-53.180
"3.56",0.5000,-53.169
"3.15",0.5000,-52.262
"4.69",2.0000,-52.249
"6.9",0.5000,-51.964
"3.60",16.0000,-51.313
"4.71",16.0000,-51.085
"3.53",4.0000,-50.798
"4.80",8.0000,-50.450
"4.65",16.0000,-50.072
"3.57",1.0000,-49.933
"4.75",16.0000,-49.489
"3.15",0.5000,-48.330
"3.45",0.5000,-47.159
"6.19",0.1300,-46.262
"4.64",16.0000,-45.220
"4.83",64.0000,-43.391
"3.46",0.2500,-42.916
"4.48",0.5000,-39.853
"4.61",32.0000,-39.277
"3.13",8.0000,-31.313
