"Title","MIC","MMGBSA dG Bind"
"3.38",0.2500,-73.009
"3.58",0.2500,-72.001
"3.34",0.2500,-71.946
"3.6",0.2500,-71.535
"3.26",0.1200,-70.236
"3.36",4.0000,-70.049
"3.25",0.2500,-69.665
"3.58",0.2500,-69.543
"4.50",16.0000,-69.213
"3.37",1.0000,-68.481
"3.8",0.2500,-67.750
"6.5",0.0200,-67.167
"5.60",0.5000,-67.023
"5.53",1.0000,-66.630
"3.24",2.0000,-66.598
"4.78",1.0000,-66.250
"5.51",0.0630,-65.864
"3.22",4.0000,-65.793
"6.8",0.0600,-65.348
"3.39",2.0000,-65.338
"3.42",4.0000,-65.263
"4.55",1.0000,-65.255
"3.43",2.0000,-65.211
"5.26",0.1250,-65.186
"3.21",4.0000,-65.112
"6.25",0.0300,-65.023
"5.19",0.2500,-64.878
"6.19",0.1300,-64.810
"2.8",2.0000,-64.796
"4.79",1.0000,-64.736
"4.63",0.1250,-64.650
"5.21",0.0630,-64.551
"3.12",2.0000,-64.511
"5.9",0.1250,-64.451
"4.87",16.0000,-64.379
"4.49",0.0630,-64.121
"5.29",0.2500,-64.014
"4.73",0.5000,-63.929
"5.20",1.0000,-63.899
"5.62",0.1250,-63.756
"AM8191",0.0200,-63.734
"6.7",4.0000,-63.425
"3.47",0.2500,-63.406
"4.53",0.2500,-63.348
"5.18",0.0630,-63.267
"5.23",0.1250,-63.190
"5.31",0.5000,-63.158
"3.9",1.5000,-63.019
"5.33",0.2500,-63.019
"3.12",2.0000,-62.938
"3.42",4.0000,-62.903
"3.48",0.1300,-62.801
"5.47",0.2500,-62.794
"3.28",8.0000,-62.758
"4.43",0.2500,-62.550
"5.17",0.0310,-62.522
"3.40",8.0000,-62.486
"3.44",8.0000,-62.434
"4.68",0.5000,-62.362
"3.35",1.0000,-62.320
"6.24",16.0000,-62.127
"5.46",0.0630,-62.023
"3.29",2.0000,-61.986
"4.35",0.0080,-61.971
"5.63",0.0630,-61.943
"3.11",8.0000,-61.861
"3.30",4.0000,-61.587
"3.59",8.0000,-61.532
"3.62",2.0000,-61.508
"3.49",0.0630,-61.479
"6.23",0.0300,-61.383
"5.66",0.1250,-61.382
"6.13",0.2500,-61.374
"4.54",0.5000,-61.357
"5.67",0.1250,-61.297
"4.59",0.0630,-61.248
"5.52",0.0630,-61.207
"5.30",0.5000,-61.202
"5.28",0.2500,-61.188
"5.6",0.0310,-61.117
"4.45",0.0310,-61.103
"4.58",0.0160,-61.101
"4.45",0.0310,-61.084
"4.74",4.0000,-61.064
"6.10",1.0600,-61.057
"4.37",0.0160,-60.959
"3.54",0.1250,-60.938
"3.41",8.0000,-60.881
"3.39",2.0000,-60.824
"3.50",0.0630,-60.604
"4.84",32.0000,-60.592
"4.40",0.0600,-60.478
"5.14",0.0630,-60.471
"5.10",0.0630,-60.423
"5.59",0.1250,-60.354
"3.55",1.0000,-60.235
"5.7",0.2500,-60.174
"5.15",0.0310,-60.142
"3.33",0.2500,-60.056
"5.61",1.0000,-60.035
"4.51",0.0630,-60.022
"5.48",16.0000,-60.003
"AM8085",0.0160,-59.990
"4.6",0.0160,-59.987
"5.3",0.0160,-59.987
"5.45",0.0310,-59.980
"3.18",0.5000,-59.970
"5.64",8.0000,-59.654
"5.50",0.2500,-59.635
"3.61",16.0000,-59.629
