"Title","MIC","docking score"
"5.65",16.0000,-9.066
"5.54",16.0000,-8.875
"3.12",2.0000,-8.159
"3.53",4.0000,-7.705
"5.53",1.0000,-8.643
"3.52",0.2500,-7.645
"3.58",0.2500,-7.522
"5.60",0.5000,-8.470
"5.52",0.0630,-8.361
"5.64",8.0000,-8.328
"3.17",1.0000,-8.317
"3.59",8.0000,-8.181
"4.50",16.0000,-8.137
"3.15",0.5000,-6.877
"4.77",16.0000,-8.079
"5.50",0.2500,-8.061
"3.57",1.0000,-7.739
"3.31",8.0000,-6.767
"5.63",0.0630,-7.954
"3.12",2.0000,-7.685
"5.51",0.0630,-7.850
"3.50",0.0630,-7.837
"3.58",0.2500,-7.683
"5.49",0.0310,-7.737
"3.61",16.0000,-7.739
"6.25",0.0300,-7.760
"5.48",16.0000,-7.715
"3.52",0.2500,-7.614
"3.53",4.0000,-7.593
"3.30",4.0000,-6.575
"4.55",1.0000,-7.638
"3.8",0.2500,-7.617
"5.12",0.0630,-7.616
"6.21",0.0200,-7.641
"3.6",0.2500,-7.575
"5.59",0.1250,-7.521
"3.42",4.0000,-6.635
"3.44",8.0000,-7.522
"3.27",8.0000,-7.468
"3.42",4.0000,-7.314
"3.28",8.0000,-7.447
"5.18",0.0630,-7.445
"3.9",1.5000,-7.335
"3.60",16.0000,-7.281
"3.49",0.0630,-7.337
"3.22",4.0000,-7.332
"3.25",0.2500,-7.270
"3.51",0.5000,-7.325
"3.26",0.1200,-7.322
"4.87",16.0000,-7.282
"3.54",0.1250,-7.304
"4.54",0.5000,-7.257
"3.48",0.1300,-7.244
"3.62",2.0000,-7.280
"3.10",8.0000,-7.217
"3.7",0.5000,-7.199
"3.43",2.0000,-7.138
"3.11",8.0000,-7.135
"5.46",0.0630,-7.129
"5.26",0.1250,-7.123
"6.18",2.0000,-7.108
"3.57",1.0000,-6.636
"3.56",0.5000,-7.126
"3.36",4.0000,-7.102
"3.38",0.2500,-7.069
"4.63",0.1250,-7.051
"4.38",0.0300,-7.049
"4.59",0.0630,-7.041
"3.55",1.0000,-7.074
"3.34",0.2500,-7.049
"4.51",0.0630,-7.002
"6.5",0.0200,-6.997
"3.37",1.0000,-7.004
"3.21",4.0000,-7.015
"4.58",0.0160,-6.976
"5.9",0.1250,-6.971
"3.15",0.5000,-6.928
"5.17",0.0310,-6.966
"4.81",1.0000,-6.960
"4.37",0.0160,-6.947
"5.45",0.0310,-6.945
"4.53",0.2500,-6.943
"4.62",8.0000,-6.940
"4.56",0.5000,-6.933
"3.32",0.1200,-6.936
"5.61",1.0000,-6.915
"3.33",0.2500,-6.926
"3.39",2.0000,-6.373
"5.19",0.2500,-6.899
"5.20",1.0000,-6.897
"3.23",8.0000,-6.871
"3.29",2.0000,-6.877
"6.7",4.0000,-6.870
"4.49",0.0630,-6.860
"5.47",0.2500,-6.856
"5.8",0.0630,-6.856
"2.7",0.2500,-6.851
"3.4",0.2500,-6.851
"5.21",0.0630,-6.849
"3.18",0.5000,-6.879
"5.23",0.1250,-6.840
"5.62",0.1250,-6.829
"5.31",0.5000,-6.826
"5.14",0.0630,-6.825
"5.10",0.0630,-6.824
"3.39",2.0000,-6.511
"2.8",2.0000,-6.812
"3.46",0.2500,-6.819
"4.48",0.5000,-6.799
"3.24",2.0000,-6.788
"3.47",0.2500,-6.784
"4.43",0.2500,-6.775
"3.35",1.0000,-6.788
"5.13",0.0160,-6.769
"5.11",0.1250,-6.766
"4.78",1.0000,-6.765
"4.40",0.0600,-6.765
"6.8",0.0600,-6.754
"4.76",8.0000,-6.744
"4.42",4.0000,-6.739
"3.16",1.5000,-6.753
"4.72",0.1250,-6.728
"5.67",0.1250,-6.723
"4.73",0.5000,-6.707
"6.11",2.0000,-6.677
"4.79",1.0000,-6.675
"4.57",0.0310,-6.668
"4.67",0.2500,-6.667
"6.6",0.0200,-6.665
"3.14",4.0000,-6.666
"4.6",0.0160,-6.666
"5.3",0.0160,-6.666
"AM8085",0.0160,-6.666
"3.45",0.5000,-6.682
"6.16",0.2500,-6.662
"3.30",4.0000,-6.598
"4.44",0.1250,-6.634
"3.41",8.0000,-6.662
"4.41",0.0500,-6.623
"4.71",16.0000,-6.609
"6.24",16.0000,-6.602
"6.14",0.5000,-6.587
"5.6",0.0310,-6.579
"4.35",0.0080,-6.572
"4.66",8.0000,-6.568
"5.66",0.1250,-6.555
"5.7",0.2500,-6.555
"5.16",0.0160,-6.552
"4.39",0.0300,-6.543
"4.70",0.1250,-6.539
"3.31",8.0000,-6.486
"4.75",16.0000,-6.517
"AM8192",0.0600,-6.511
"4.47",0.2500,-6.510
"5.15",0.0310,-6.509
"4.82",2.0000,-6.506
"4.52",2.0000,-6.498
"4.46",0.5000,-6.534
"5.5",0.5000,-6.534
"3.40",8.0000,-6.532
"5.30",0.5000,-6.494
"4.69",2.0000,-6.493
"6.9",0.5000,-6.465
"6.23",0.0300,-6.426
"AM8191",0.0200,-6.427
"4.64",16.0000,-6.397
"4.68",0.5000,-6.373
"4.45",0.0310,-5.862
"6.10",1.0600,-6.324
"4.36",0.0310,-6.319
"4.85",64.0000,-6.306
"4.86",16.0000,-6.280
"6.13",0.2500,-6.253
"6.12",8.0000,-6.217
"4.83",64.0000,-6.216
"5.32",1.0000,-6.211
"5.29",0.2500,-6.204
"6.19",0.1300,-5.077
"6.19",0.1300,-6.104
"4.45",0.0310,-5.669
"5.33",0.2500,-6.131
"4.84",32.0000,-6.066
"3.13",8.0000,-5.848
"4.74",4.0000,-5.792
"5.28",0.2500,-5.782
"6.22",0.0300,-5.366
"4.65",16.0000,-4.988
"4.60",8.0000,-4.855
"4.61",32.0000,-4.298
"6.20",16.0000,-4.338
"4.80",8.0000,-3.580
