"Title","MIC","docking score"
"3.12",2.0000,-8.159
"3.53",4.0000,-7.705
"3.52",0.2500,-7.645
"3.58",0.2500,-7.522
"3.17",1.0000,-8.317
"3.59",8.0000,-8.181
"3.15",0.5000,-6.877
"3.57",1.0000,-7.739
"3.31",8.0000,-6.767
"3.12",2.0000,-7.685
"3.50",0.0630,-7.837
"3.58",0.2500,-7.683
"3.61",16.0000,-7.739
"3.52",0.2500,-7.614
"3.53",4.0000,-7.593
"3.30",4.0000,-6.575
"3.8",0.2500,-7.617
"3.6",0.2500,-7.575
"3.42",4.0000,-6.635
"3.44",8.0000,-7.522
"3.27",8.0000,-7.468
"3.42",4.0000,-7.314
"3.28",8.0000,-7.447
"3.9",1.5000,-7.335
"3.60",16.0000,-7.281
"3.49",0.0630,-7.337
"3.22",4.0000,-7.332
"3.25",0.2500,-7.270
"3.51",0.5000,-7.325
"3.26",0.1200,-7.322
"3.54",0.1250,-7.304
"3.48",0.1300,-7.244
"3.62",2.0000,-7.280
"3.10",8.0000,-7.217
"3.7",0.5000,-7.199
"3.43",2.0000,-7.138
"3.11",8.0000,-7.135
"3.57",1.0000,-6.636
"3.56",0.5000,-7.126
"3.36",4.0000,-7.102
"3.38",0.2500,-7.069
"3.55",1.0000,-7.074
"3.34",0.2500,-7.049
"3.37",1.0000,-7.004
"3.21",4.0000,-7.015
"3.15",0.5000,-6.928
"3.32",0.1200,-6.936
"3.33",0.2500,-6.926
"3.39",2.0000,-6.373
"3.23",8.0000,-6.871
"3.29",2.0000,-6.877
"2.7",0.2500,-6.851
"3.4",0.2500,-6.851
"3.18",0.5000,-6.879
"3.39",2.0000,-6.511
"2.8",2.0000,-6.812
"3.46",0.2500,-6.819
"3.24",2.0000,-6.788
"3.47",0.2500,-6.784
"3.35",1.0000,-6.788
"3.16",1.5000,-6.753
"3.14",4.0000,-6.666
"AM8085",0.0160,-6.666
"3.45",0.5000,-6.682
"3.30",4.0000,-6.598
"3.41",8.0000,-6.662
"3.31",8.0000,-6.486
"AM8192",0.0600,-6.511
"3.40",8.0000,-6.532
"AM8191",0.0200,-6.427
"3.13",8.0000,-5.848
