"Title","MIC","docking score"
"3.12",2.0000,-9.203
"3.52",0.2500,-8.737
"3.58",0.2500,-8.634
"3.17",1.0000,-8.406
"3.59",8.0000,-8.289
"4.50",16.0000,-8.239
"4.77",16.0000,-8.203
"3.12",2.0000,-8.119
"3.53",4.0000,-8.069
"3.31",8.0000,-8.067
"3.57",1.0000,-8.066
"3.44",8.0000,-8.004
"3.30",4.0000,-7.927
"4.55",1.0000,-7.826
"3.43",2.0000,-7.825
"3.58",0.2500,-7.719
"6.21",0.0200,-7.693
"3.60",16.0000,-7.669
"6.25",0.0300,-7.650
"3.51",0.5000,-7.606
"3.8",0.2500,-7.596
"3.49",0.0630,-7.567
"3.21",4.0000,-7.543
"3.62",2.0000,-7.540
"3.6",0.2500,-7.538
"3.22",4.0000,-7.477
"3.54",0.1250,-7.473
"3.25",0.2500,-7.454
"3.52",0.2500,-7.446
"3.28",8.0000,-7.409
"3.34",0.2500,-7.371
"3.56",0.5000,-7.368
"3.15",0.5000,-7.364
"3.38",0.2500,-7.357
"3.48",0.1300,-7.355
"3.50",0.0630,-7.349
"3.7",0.5000,-7.346
"3.42",4.0000,-7.326
"3.26",0.1200,-7.312
"3.57",1.0000,-7.309
"3.27",8.0000,-7.289
"3.15",0.5000,-7.267
"4.38",0.0300,-7.258
"3.55",1.0000,-7.251
"3.10",8.0000,-7.245
"2.8",2.0000,-7.243
"3.4",0.2500,-7.243
"2.7",0.2500,-7.243
"3.42",4.0000,-7.233
"3.23",8.0000,-7.193
"3.35",1.0000,-7.190
"4.51",0.0630,-7.162
"4.58",0.0160,-7.143
"3.47",0.2500,-7.142
"6.16",0.2500,-7.133
"4.63",0.1250,-7.118
"3.61",16.0000,-7.100
"6.8",0.0600,-7.091
"3.31",8.0000,-7.083
"3.39",2.0000,-7.082
"3.40",8.0000,-7.082
"3.24",2.0000,-7.071
"3.11",8.0000,-7.069
"3.9",1.5000,-7.057
"4.81",1.0000,-7.055
"3.16",1.5000,-7.051
"4.37",0.0160,-7.043
"3.36",4.0000,-7.031
"6.18",2.0000,-7.000
"3.29",2.0000,-6.997
"3.41",8.0000,-6.979
"4.40",0.0600,-6.944
"4.59",0.0630,-6.942
"3.37",1.0000,-6.940
"3.30",4.0000,-6.929
"3.46",0.2500,-6.903
"4.49",0.0630,-6.887
"3.18",0.5000,-6.880
"3.14",4.0000,-6.877
"4.79",1.0000,-6.869
"4.76",8.0000,-6.866
"4.54",0.5000,-6.865
"4.39",0.0300,-6.862
"4.41",0.0500,-6.849
"3.39",2.0000,-6.846
"4.72",0.1250,-6.844
"3.53",4.0000,-6.835
"6.5",0.0200,-6.833
"4.73",0.5000,-6.833
"6.6",0.0200,-6.833
"3.33",0.2500,-6.830
"3.13",8.0000,-6.829
"3.45",0.5000,-6.823
"3.32",0.1200,-6.815
"4.78",1.0000,-6.808
"4.53",0.2500,-6.807
"4.61",32.0000,-6.789
"4.66",8.0000,-6.786
"6.24",16.0000,-6.785
"4.82",2.0000,-6.779
"4.71",16.0000,-6.770
"4.6",0.0160,-6.743
"AM8085",0.0160,-6.743
"4.56",0.5000,-6.726
"AM8192",0.0600,-6.725
"4.43",0.2500,-6.713
"4.44",0.1250,-6.703
"AM8191",0.0200,-6.683
"4.35",0.0080,-6.679
"4.46",0.5000,-6.669
"6.7",4.0000,-6.667
"6.13",0.2500,-6.666
"4.67",0.2500,-6.654
"4.47",0.2500,-6.645
"6.23",0.0300,-6.641
"4.42",4.0000,-6.609
"4.52",2.0000,-6.603
"4.65",16.0000,-6.557
"4.68",0.5000,-6.538
"4.57",0.0310,-6.522
"4.48",0.5000,-6.494
"6.10",1.0600,-6.494
"6.19",0.1300,-6.494
"4.85",64.0000,-6.457
"6.14",0.5000,-6.448
"4.86",16.0000,-6.447
"4.45",0.0310,-6.410
"4.36",0.0310,-6.399
"6.9",0.5000,-6.354
"4.75",16.0000,-6.302
"4.70",0.1250,-6.294
"4.74",4.0000,-6.293
"6.12",8.0000,-6.248
"6.19",0.1300,-6.200
"4.69",2.0000,-6.194
"4.83",64.0000,-6.179
"4.84",32.0000,-6.065
"6.11",2.0000,-6.053
"4.45",0.0310,-6.053
"4.64",16.0000,-6.045
"4.80",8.0000,-5.734
"4.62",8.0000,-5.727
"4.60",8.0000,-5.693
"6.22",0.0300,-4.886
"6.20",16.0000,-4.378
"4.87",16.0000,-4.061
