"Title","MIC","docking score"
"3.12",2.0000,-8.359
"5.54",16.0000,-8.783
"3.52",0.2500,-7.588
"5.52",0.0630,-8.453
"3.17",1.0000,-8.295
"5.53",1.0000,-8.238
"5.65",16.0000,-8.272
"3.31",8.0000,-7.000
"5.64",8.0000,-8.206
"3.61",16.0000,-8.133
"5.50",0.2500,-8.129
"5.49",0.0310,-8.032
"4.77",16.0000,-8.007
"3.15",0.5000,-6.801
"3.57",1.0000,-7.714
"3.58",0.2500,-7.013
"3.59",8.0000,-8.031
"6.25",0.0300,-7.997
"5.51",0.0630,-7.926
"3.30",4.0000,-6.817
"6.21",0.0200,-7.931
"4.50",16.0000,-7.809
"3.44",8.0000,-7.804
"3.12",2.0000,-7.484
"5.48",16.0000,-7.708
"3.58",0.2500,-7.594
"3.62",2.0000,-7.691
"3.53",4.0000,-6.683
"4.55",1.0000,-7.622
"3.53",4.0000,-7.508
"5.12",0.0630,-7.554
"3.28",8.0000,-7.515
"5.60",0.5000,-7.513
"3.43",2.0000,-7.510
"3.37",1.0000,-7.523
"3.38",0.2500,-7.518
"3.54",0.1250,-7.522
"3.42",4.0000,-7.339
"3.48",0.1300,-7.464
"5.59",0.1250,-7.413
"3.49",0.0630,-7.412
"3.22",4.0000,-7.412
"3.25",0.2500,-7.350
"3.26",0.1200,-7.367
"3.36",4.0000,-7.329
"3.8",0.2500,-7.308
"3.55",1.0000,-7.336
"4.63",0.1250,-7.291
"5.63",0.0630,-7.261
"3.51",0.5000,-7.290
"3.27",8.0000,-7.237
"3.60",16.0000,-7.192
"3.42",4.0000,-6.346
"3.11",8.0000,-7.176
"2.7",0.2500,-7.175
"3.4",0.2500,-7.175
"3.6",0.2500,-7.166
"3.56",0.5000,-7.202
"3.18",0.5000,-7.178
"3.10",8.0000,-7.139
"3.34",0.2500,-7.146
"3.35",1.0000,-7.144
"4.54",0.5000,-7.112
"3.7",0.5000,-7.104
"6.16",0.2500,-7.102
"3.24",2.0000,-7.089
"3.52",0.2500,-7.005
"3.21",4.0000,-7.119
"4.62",8.0000,-7.076
"3.33",0.2500,-7.091
"3.39",2.0000,-6.525
"3.32",0.1200,-7.076
"3.57",1.0000,-6.579
"3.15",0.5000,-7.003
"4.58",0.0160,-7.042
"4.79",1.0000,-7.022
"5.62",0.1250,-7.016
"5.47",0.2500,-7.009
"4.39",0.0300,-7.008
"5.45",0.0310,-7.002
"5.18",0.0630,-6.999
"4.53",0.2500,-6.987
"3.14",4.0000,-6.981
"3.46",0.2500,-6.990
"4.37",0.0160,-6.965
"5.9",0.1250,-6.962
"3.40",8.0000,-6.999
"4.59",0.0630,-6.958
"3.29",2.0000,-6.954
"3.31",8.0000,-6.906
"5.46",0.0630,-6.934
"3.23",8.0000,-6.918
"6.24",16.0000,-6.924
"4.38",0.0300,-6.925
"3.41",8.0000,-6.945
"5.20",1.0000,-6.896
"3.47",0.2500,-6.894
"3.39",2.0000,-6.575
"4.87",16.0000,-6.880
"6.18",2.0000,-6.846
"5.21",0.0630,-6.842
"4.51",0.0630,-6.835
"5.19",0.2500,-6.829
"4.78",1.0000,-6.825
"3.50",0.0630,-6.832
"2.8",2.0000,-6.782
"3.9",1.5000,-6.781
"6.9",0.5000,-6.769
"3.13",8.0000,-6.756
"4.67",0.2500,-6.742
"6.6",0.0200,-6.737
"6.7",4.0000,-6.730
"5.26",0.1250,-6.728
"6.8",0.0600,-6.718
"4.6",0.0160,-6.713
"5.3",0.0160,-6.713
"AM8085",0.0160,-6.713
"5.61",1.0000,-6.710
"5.67",0.1250,-6.707
"4.73",0.5000,-6.698
"4.49",0.0630,-6.695
"4.56",0.5000,-6.682
"3.30",4.0000,-6.604
"5.13",0.0160,-6.659
"4.35",0.0080,-6.652
"3.16",1.5000,-6.670
"3.45",0.5000,-6.665
"5.66",0.1250,-6.634
"4.72",0.1250,-6.628
"4.36",0.0310,-6.602
"4.64",16.0000,-6.601
"5.11",0.1250,-6.597
"4.81",1.0000,-6.590
"4.40",0.0600,-6.581
"5.17",0.0310,-6.538
"4.48",0.5000,-6.531
"6.23",0.0300,-6.526
"6.19",0.1300,-6.468
"4.57",0.0310,-6.524
"6.14",0.5000,-6.523
"4.45",0.0310,-6.024
"4.65",16.0000,-6.489
"AM8191",0.0200,-6.468
"5.7",0.2500,-6.445
"4.69",2.0000,-6.429
"6.5",0.0200,-6.417
"5.14",0.0630,-6.406
"4.82",2.0000,-6.405
"4.70",0.1250,-6.404
"5.23",0.1250,-6.391
"5.31",0.5000,-6.376
"5.15",0.0310,-6.346
"6.13",0.2500,-6.336
"5.6",0.0310,-6.328
"4.76",8.0000,-6.322
"4.74",4.0000,-6.315
"5.8",0.0630,-6.313
"4.47",0.2500,-6.272
"4.71",16.0000,-6.264
"4.52",2.0000,-6.256
"4.66",8.0000,-6.246
"AM8192",0.0600,-6.212
"4.43",0.2500,-6.210
"5.32",1.0000,-6.206
"4.46",0.5000,-6.226
"5.5",0.5000,-6.226
"4.41",0.0500,-6.184
"5.30",0.5000,-6.183
"6.11",2.0000,-6.184
"4.44",0.1250,-6.171
"5.16",0.0160,-6.167
