"Title","MIC","MMGBSA dG Bind"
"3.38",0.2500,-72.839
"3.58",0.2500,-70.383
"3.54",0.1250,-69.820
"3.26",0.1200,-69.783
"3.34",0.2500,-69.781
"3.58",0.2500,-69.134
"6.13",0.2500,-68.976
"3.36",4.0000,-68.967
"3.25",0.2500,-68.620
"3.35",1.0000,-68.389
"6.14",0.5000,-68.097
"2.8",2.0000,-67.912
"6.19",0.1300,-65.512
"3.24",2.0000,-65.218
"6.8",0.0600,-65.001
"4.79",1.0000,-64.823
"4.63",0.1250,-64.572
"3.43",2.0000,-64.197
"4.49",0.0630,-63.991
"4.85",64.0000,-63.888
"4.54",0.5000,-63.888
"3.48",0.1300,-63.632
"6.21",0.0200,-63.547
"6.25",0.0300,-63.546
"3.12",2.0000,-63.528
"4.81",1.0000,-63.507
"6.7",4.0000,-63.467
"3.44",8.0000,-63.424
"4.53",0.2500,-62.921
"6.10",1.0600,-62.532
"3.6",0.2500,-62.348
"AM8191",0.0200,-62.305
"4.66",8.0000,-62.109
"3.9",1.5000,-61.949
"3.39",2.0000,-61.655
"3.50",0.0630,-61.594
"4.43",0.2500,-61.488
"3.49",0.0630,-61.472
"4.45",0.0310,-61.127
"3.30",4.0000,-60.930
"3.55",1.0000,-60.249
"3.12",2.0000,-60.232
"3.61",16.0000,-60.221
"4.62",8.0000,-60.108
"4.36",0.0310,-60.031
"3.53",4.0000,-59.934
"3.32",0.1200,-59.921
"3.22",4.0000,-59.819
"4.41",0.0500,-59.775
"4.50",16.0000,-59.688
"4.38",0.0300,-59.658
"3.21",4.0000,-59.628
"4.76",8.0000,-59.511
"4.58",0.0160,-59.466
"3.41",8.0000,-59.374
"6.5",0.0200,-59.360
"3.18",0.5000,-59.223
"3.47",0.2500,-58.921
"4.57",0.0310,-58.876
"4.77",16.0000,-58.825
"6.19",0.1300,-58.822
"4.73",0.5000,-58.545
"3.52",0.2500,-58.518
"6.18",2.0000,-58.489
"3.30",4.0000,-58.346
"3.15",0.5000,-58.265
"3.14",4.0000,-58.206
"3.31",8.0000,-57.814
"4.69",2.0000,-57.541
"3.40",8.0000,-57.518
"3.17",1.0000,-57.468
"3.53",4.0000,-57.407
"6.11",2.0000,-57.319
"3.62",2.0000,-56.947
"4.55",1.0000,-56.837
"3.11",8.0000,-56.576
"4.72",0.1250,-56.441
"3.39",2.0000,-56.372
"6.16",0.2500,-56.354
"3.52",0.2500,-55.980
"3.29",2.0000,-55.852
"6.24",16.0000,-55.512
"3.10",8.0000,-55.395
"6.9",0.5000,-55.382
"4.45",0.0310,-55.197
"3.16",1.5000,-54.657
"4.37",0.0160,-54.651
"4.35",0.0080,-54.383
"3.4",0.2500,-54.295
"2.7",0.2500,-54.295
"3.8",0.2500,-54.197
"4.67",0.2500,-54.094
"4.51",0.0630,-54.090
"3.33",0.2500,-54.070
"3.23",8.0000,-53.843
"3.27",8.0000,-53.689
"3.42",4.0000,-53.664
"4.46",0.5000,-53.633
"3.37",1.0000,-53.314
"4.56",0.5000,-53.157
"3.31",8.0000,-53.050
"4.82",2.0000,-52.826
"4.78",1.0000,-52.766
"4.60",8.0000,-52.683
"4.40",0.0600,-52.643
"4.52",2.0000,-52.601
"4.48",0.5000,-52.342
"3.7",0.5000,-52.102
"3.56",0.5000,-51.713
"AM8192",0.0600,-51.500
"6.6",0.0200,-51.495
"4.47",0.2500,-51.356
"4.6",0.0160,-51.253
"AM8085",0.0160,-51.206
"4.87",16.0000,-51.021
"4.42",4.0000,-50.995
"3.60",16.0000,-50.881
"4.86",16.0000,-50.842
"3.42",4.0000,-50.440
"4.74",4.0000,-50.128
"3.28",8.0000,-50.118
"6.23",0.0300,-49.992
"4.65",16.0000,-49.956
"4.44",0.1250,-49.930
"4.70",0.1250,-49.754
"3.57",1.0000,-49.383
"3.15",0.5000,-49.341
"4.84",32.0000,-49.008
"3.59",8.0000,-48.044
"4.83",64.0000,-47.932
"4.39",0.0300,-47.266
"3.45",0.5000,-47.133
"4.59",0.0630,-46.770
"3.46",0.2500,-46.437
"4.80",8.0000,-45.309
"4.71",16.0000,-44.801
"3.51",0.5000,-44.557
"4.68",0.5000,-43.550
"6.12",8.0000,-43.044
"4.64",16.0000,-41.143
"6.20",16.0000,-40.723
"3.57",1.0000,-39.896
"4.75",16.0000,-36.660
"4.61",32.0000,-36.613
"6.22",0.0300,-35.796
"3.13",8.0000,-30.591
