Title,MIC,docking score
2.7,0.25,-7.086
2.8,2,-6.977
3.1,8,-7.226
3.11,8,-7.279
3.12,2,-8.411
3.12,2,-7.631
3.13,8,-7.255
3.14,4,-7.053
3.15,0.5,-6.957
3.15,0.5,-6.949
3.16,1.5,-6.748
3.17,1,-8.16
3.18,0.5,-6.921
3.21,4,-6.85
3.22,4,-7.264
3.23,8,-6.879
3.24,2,-7.034
3.25,0.25,-7.26
3.26,0.12,-7.287
3.27,8,-6.605
3.28,8,-7.259
3.29,2,-6.812
3.3,4,-6.604
3.3,4,-6.516
3.31,8,-6.639
3.31,8,-6.547
3.32,0.12,-6.801
3.33,0.25,-6.816
3.34,0.25,-6.957
3.35,1,-6.915
3.36,4,-7.051
3.37,1,-7.47
3.38,0.25,-7.065
3.39,2,-6.44
3.39,2,-6.151
3.4,0.25,-7.086
3.4,8,-6.824
3.41,8,-6.417
3.42,4,-7.051
3.42,4,-6.422
3.43,2,-7.336
3.44,8,-7.844
3.45,0.5,-6.319
3.46,0.25,-6.797
3.47,0.25,-6.697
3.48,0.13,-7.231
3.49,0.063,-7.444
3.5,0.063,-7.604
3.51,0.5,-7.324
3.52,0.25,-7.224
3.52,0.25,-6.969
3.53,4,-7.357
3.53,4,-7.206
3.54,0.125,-7.319
3.55,1,-7.147
3.56,0.5,-7.141
3.57,1,-7.896
3.57,1,-6.906
3.58,0.25,-7.13
3.58,0.25,-7.029
3.59,8,-8.026
3.6,0.25,-7.497
3.6,16,-6.92
3.61,16,-7.803
3.62,2,-7.44
3.7,0.5,-7.102
3.8,0.25,-7.608
3.9,1.5,-7.227
4.35,0.008,-6.466
4.36,0.031,-6.311
4.37,0.016,-6.653
4.38,0.03,-6.939
4.39,0.03,-6.604
4.4,0.06,-6.648
4.41,0.05,-6.459
4.42,4,-6.82
4.43,0.25,-7.248
4.44,0.125,-6.262
4.45,0.031,-5.933
4.45,0.031,-5.557
4.46,0.5,-6.399
4.47,0.25,-6.277
4.48,0.5,-6.65
4.49,0.063,-6.668
4.5,16,-8.001
4.51,0.063,-6.656
4.52,2,-6.321
4.53,0.25,-6.821
4.54,0.5,-6.896
4.55,1,-7.036
4.56,0.5,-6.686
4.57,0.031,-6.683
4.58,0.016,-6.92
4.59,0.063,-7.046
4.6,0.016,-6.695
4.6,8,-5.597
4.61,32,-6.35
4.62,8,-6.993
4.63,0.125,-7.109
4.64,16,-6.15
4.65,16,-6.142
4.66,8,-6.255
4.67,0.25,-6.608
4.68,0.5,-6.37
4.69,2,-6.554
4.7,0.125,-6.35
4.71,16,-6.656
4.72,0.125,-6.75
4.73,0.5,-6.019
4.74,4,-5.125
4.75,16,-5.365
4.76,8,-5.516
4.77,16,-7.105
4.78,1,-6.741
4.79,1,-7.535
4.8,8,-6.86
4.81,1,-6.689
4.82,2,-6.615
4.83,64,-6.92
4.84,32,-5.795
4.85,64,-6.198
4.86,16,-6.349
4.87,16,-8.139
5.1,0.063,-6.571
5.11,0.125,-6.6
5.12,0.063,-7.449
5.13,0.016,-6.601
5.14,0.063,-6.694
5.15,0.031,-6.569
5.16,0.016,-6.59
5.17,0.031,-7.022
5.18,0.063,-7.328
5.19,0.25,-7.183
5.2,1,-7.045
5.21,0.063,-6.995
5.23,0.125,-6.852
5.26,0.125,-7.077
5.28,0.25,-5.634
5.29,0.25,-6.038
5.3,0.016,-6.695
5.3,0.5,-6.245
5.31,0.5,-6.361
5.32,1,-5.885
5.33,0.25,-6.07
5.45,0.031,-7.018
5.46,0.063,-7.14
5.47,0.25,-7.121
5.48,16,-7.763
5.49,0.031,-7.706
5.5,0.25,-8.126
5.5,0.5,-6.399
5.51,0.063,-7.487
5.52,0.063,-8.294
5.53,1,-8.719
5.54,16,-8.782
5.59,0.125,-7.207
5.6,0.5,-8.494
5.6,0.031,-6.537
5.61,1,-7.068
5.62,0.125,-6.863
5.63,0.063,-7.604
5.64,8,-8.456
5.65,16,-9.23
5.66,0.125,-6.462
5.67,0.125,-6.886
5.7,0.25,-6.639
5.8,0.063,-6.898
5.9,0.125,-7.026
6.1,1.06,-6.052
6.11,2,-6.455
6.12,8,-6.226
6.13,0.25,-6.377
6.14,0.5,-6.469
6.16,0.25,-7.047
6.18,2,-6.951
6.19,0.13,-6.513
6.19,0.13,-6.459
6.2,16,-7.684
6.21,0.02,-7.759
6.22,0.03,-7.952
6.23,0.03,-6.384
6.24,16,-6.471
6.25,0.03,-7.831
6.5,0.02,-6.802
6.6,0.02,-6.676
6.7,4,-6.547
6.8,0.06,-6.731
6.9,0.5,-6.559
AM8085,0.016,-6.695
AM8191,0.02,-6.351
AM8192,0.06,-6.547
