"Title","MIC","MMGBSA dG Bind"
"5.65",16.0000,-74.223
"3.6",0.2500,-73.083
"3.34",0.2500,-70.885
"3.58",0.2500,-70.880
"5.49",0.0310,-70.810
"3.25",0.2500,-70.392
"3.26",0.1200,-70.075
"3.37",1.0000,-69.294
"3.36",4.0000,-69.023
"3.58",0.2500,-69.020
"3.42",4.0000,-68.369
"3.35",1.0000,-68.317
"6.5",0.0200,-68.240
"5.30",0.5000,-68.186
"3.8",0.2500,-67.984
"5.19",0.2500,-67.708
"3.24",2.0000,-67.707
"5.59",0.1250,-67.470
"5.67",0.1250,-67.044
"4.55",1.0000,-66.767
"5.51",0.0630,-65.974
"3.22",4.0000,-65.860
"3.38",0.2500,-65.829
"3.48",0.1300,-65.745
"6.8",0.0600,-65.740
"5.62",0.1250,-65.393
"5.26",0.1250,-65.307
"3.21",4.0000,-65.276
"5.60",0.5000,-65.271
"6.16",0.2500,-64.413
"4.54",0.5000,-64.343
"5.48",16.0000,-64.329
"5.66",0.1250,-64.292
"4.49",0.0630,-64.192
"5.63",0.0630,-64.171
"3.53",4.0000,-64.118
"5.29",0.2500,-64.016
"3.51",0.5000,-63.893
"3.54",0.1250,-63.869
"AM8191",0.0200,-63.687
"6.25",0.0300,-63.681
"5.53",1.0000,-63.612
"5.9",0.1250,-63.598
"6.13",0.2500,-63.577
"6.24",16.0000,-63.245
"5.23",0.1250,-63.234
"5.16",0.0160,-63.087
"3.9",1.5000,-63.019
"3.12",2.0000,-62.938
"4.81",1.0000,-62.728
"5.17",0.0310,-62.655
"3.62",2.0000,-62.643
"4.78",1.0000,-62.524
"4.68",0.5000,-62.398
"5.47",0.2500,-62.082
"4.35",0.0080,-61.862
"3.55",1.0000,-61.816
"3.32",0.1200,-61.786
"5.46",0.0630,-61.592
"3.49",0.0630,-61.584
"3.30",4.0000,-61.535
"5.8",0.0630,-61.511
"3.47",0.2500,-61.478
"3.42",4.0000,-61.446
"3.43",2.0000,-61.384
"3.39",2.0000,-61.306
"5.15",0.0310,-61.277
"5.6",0.0310,-61.249
"5.32",1.0000,-61.230
"6.23",0.0300,-61.217
"5.52",0.0630,-61.207
"4.45",0.0310,-61.142
"2.8",2.0000,-61.135
"4.45",0.0310,-61.131
"4.40",0.0600,-60.919
"3.41",8.0000,-60.903
"4.37",0.0160,-60.869
"3.33",0.2500,-60.747
"4.79",1.0000,-60.700
"3.44",8.0000,-60.688
"3.61",16.0000,-60.679
"3.27",8.0000,-60.653
"3.39",2.0000,-60.609
"5.28",0.2500,-60.601
"3.50",0.0630,-60.542
"5.11",0.1250,-60.531
"5.10",0.0630,-60.444
"5.50",0.2500,-60.246
"5.7",0.2500,-60.241
"6.7",4.0000,-60.172
"3.29",2.0000,-60.153
"4.51",0.0630,-60.022
"5.45",0.0310,-59.980
"4.36",0.0310,-59.943
