"Title","MIC","MMGBSA dG Bind"
"3.38",0.2500,-80.301
"3.37",1.0000,-75.832
"3.44",8.0000,-75.620
"3.25",0.2500,-73.075
"5.64",8.0000,-72.218
"3.26",0.1200,-71.475
"3.34",0.2500,-69.095
"3.36",4.0000,-68.630
"5.47",0.2500,-68.369
"5.19",0.2500,-68.356
"4.55",1.0000,-68.127
"3.58",0.2500,-67.915
"5.59",0.1250,-67.848
"3.42",4.0000,-67.701
"5.67",0.1250,-67.366
"6.5",0.0200,-67.164
"3.39",2.0000,-66.658
"3.6",0.2500,-66.332
"3.48",0.1300,-66.224
"3.42",4.0000,-66.219
"3.41",8.0000,-65.809
"5.66",0.1250,-65.719
"3.58",0.2500,-65.642
"3.22",4.0000,-65.613
"5.50",0.2500,-65.434
"5.18",0.0630,-65.256
"3.47",0.2500,-65.069
"5.60",0.5000,-64.958
"3.32",0.1200,-64.732
"3.21",4.0000,-64.408
"3.8",0.2500,-64.313
"3.40",8.0000,-64.255
"3.35",1.0000,-64.234
"4.49",0.0630,-64.057
"AM8191",0.0200,-63.969
"4.72",0.1250,-63.965
"5.31",0.5000,-63.744
"4.59",0.0630,-63.720
"5.17",0.0310,-63.646
"3.24",2.0000,-63.622
"5.9",0.1250,-63.612
"5.12",0.0630,-63.049
"4.36",0.0310,-62.914
"4.78",1.0000,-62.910
"4.63",0.1250,-62.885
"4.70",0.1250,-62.859
"3.29",2.0000,-62.730
"6.8",0.0600,-62.687
"5.61",1.0000,-62.645
"6.7",4.0000,-62.463
"4.51",0.0630,-62.462
"5.8",0.0630,-62.429
"5.52",0.0630,-62.170
"5.13",0.0160,-62.131
"3.39",2.0000,-62.114
"3.12",2.0000,-62.060
"4.43",0.2500,-62.030
"6.16",0.2500,-61.983
"3.33",0.2500,-61.958
"6.11",2.0000,-61.926
"5.53",1.0000,-61.871
"4.85",64.0000,-61.860
"5.48",16.0000,-61.828
"3.18",0.5000,-61.706
"5.45",0.0310,-61.655
"5.20",1.0000,-61.601
"5.33",0.2500,-61.133
"3.30",4.0000,-61.124
"6.24",16.0000,-61.076
"3.27",8.0000,-60.992
"4.66",8.0000,-60.967
"6.12",8.0000,-60.897
"6.18",2.0000,-60.880
"3.50",0.0630,-60.820
"5.23",0.1250,-60.752
"5.11",0.1250,-60.634
"4.50",16.0000,-60.588
"5.62",0.1250,-60.398
"5.26",0.1250,-60.382
"5.16",0.0160,-60.267
"3.30",4.0000,-60.261
"4.48",0.5000,-60.231
"3.54",0.1250,-60.217
"3.31",8.0000,-59.963
"6.25",0.0300,-59.863
"4.58",0.0160,-59.687
"3.62",2.0000,-59.631
"4.6",0.0160,-59.606
"5.3",0.0160,-59.606
"AM8085",0.0160,-59.600
"3.9",1.5000,-59.591
"5.30",0.5000,-59.516
"3.12",2.0000,-59.465
"4.67",0.2500,-59.449
"5.54",16.0000,-59.223
"5.63",0.0630,-59.185
"4.45",0.0310,-59.154
"4.35",0.0080,-59.131
"5.46",0.0630,-59.108
"4.37",0.0160,-59.044
"6.21",0.0200,-58.983
"5.6",0.0310,-58.913
"5.49",0.0310,-58.867
"4.53",0.2500,-58.856
"4.54",0.5000,-58.710
"5.51",0.0630,-58.663
"3.61",16.0000,-58.656
"6.13",0.2500,-58.603
"5.65",16.0000,-58.446
"3.53",4.0000,-58.444
"3.51",0.5000,-58.409
"4.73",0.5000,-58.391
"3.31",8.0000,-58.332
"4.45",0.0310,-58.307
"3.52",0.2500,-58.257
"5.7",0.2500,-58.210
"3.59",8.0000,-58.182
"3.55",1.0000,-58.135
"5.29",0.2500,-58.085
"5.32",1.0000,-58.066
"5.21",0.0630,-57.983
"5.14",0.0630,-57.956
"4.77",16.0000,-57.953
