"Title","MIC","docking score"
"5.65",16.0000,-9.202
"5.64",8.0000,-8.829
"3.12",2.0000,-8.175
"5.54",16.0000,-8.716
"5.60",0.5000,-8.464
"5.53",1.0000,-8.402
"3.58",0.2500,-7.347
"3.17",1.0000,-8.245
"3.31",8.0000,-6.959
"3.61",16.0000,-8.099
"5.52",0.0630,-8.124
"5.49",0.0310,-8.071
"4.50",16.0000,-8.068
"6.25",0.0300,-8.015
"3.59",8.0000,-7.992
"5.50",0.2500,-7.944
"3.12",2.0000,-7.659
"3.53",4.0000,-6.909
"5.48",16.0000,-7.828
"3.57",1.0000,-7.534
"3.30",4.0000,-6.711
"6.22",0.0300,-7.784
"3.50",0.0630,-7.755
"4.55",1.0000,-7.713
"5.51",0.0630,-7.712
"4.77",16.0000,-7.691
"6.20",16.0000,-7.683
"4.79",1.0000,-7.633
"3.62",2.0000,-7.661
"3.42",4.0000,-7.463
"6.19",0.1300,-6.499
"3.42",4.0000,-6.682
"5.59",0.1250,-7.543
"3.43",2.0000,-7.533
"5.12",0.0630,-7.515
"6.21",0.0200,-7.551
"3.15",0.5000,-6.309
"4.43",0.2500,-7.500
"3.38",0.2500,-7.506
"3.44",8.0000,-7.515
"5.63",0.0630,-7.410
"3.37",1.0000,-7.409
"3.8",0.2500,-7.387
"3.51",0.5000,-7.405
"3.54",0.1250,-7.404
"3.22",4.0000,-7.393
"3.36",4.0000,-7.345
"3.49",0.0630,-7.353
"4.84",32.0000,-7.302
"3.25",0.2500,-7.272
"3.26",0.1200,-7.319
"3.55",1.0000,-7.308
"3.34",0.2500,-7.283
"3.60",16.0000,-7.236
"3.6",0.2500,-7.251
"3.52",0.2500,-7.153
"3.56",0.5000,-7.275
"3.27",8.0000,-7.235
"5.46",0.0630,-7.204
"5.19",0.2500,-7.192
"4.54",0.5000,-7.174
"3.57",1.0000,-6.688
"3.41",8.0000,-7.192
"3.58",0.2500,-7.070
"3.11",8.0000,-7.146
"6.18",2.0000,-7.142
"5.18",0.0630,-7.140
"4.58",0.0160,-7.124
"3.53",4.0000,-7.032
"5.47",0.2500,-7.089
"4.59",0.0630,-7.085
"3.14",4.0000,-7.072
"2.8",2.0000,-7.057
"4.39",0.0300,-7.055
"4.53",0.2500,-7.054
"5.20",1.0000,-7.044
"3.7",0.5000,-7.040
"3.46",0.2500,-7.053
"4.78",1.0000,-7.030
"3.33",0.2500,-7.047
"5.21",0.0630,-7.025
"3.18",0.5000,-7.052
"3.47",0.2500,-7.011
"3.9",1.5000,-7.010
"6.5",0.0200,-7.003
"3.15",0.5000,-6.965
"2.7",0.2500,-7.005
"3.4",0.2500,-7.005
"3.21",4.0000,-7.032
"4.63",0.1250,-6.991
"3.28",8.0000,-6.970
"4.72",0.1250,-6.971
"3.39",2.0000,-6.664
"4.37",0.0160,-6.968
"5.61",1.0000,-6.959
"5.9",0.1250,-6.958
"5.23",0.1250,-6.955
"3.23",8.0000,-6.937
"3.40",8.0000,-6.964
"3.39",2.0000,-6.388
"3.35",1.0000,-6.930
"3.31",8.0000,-6.865
"3.32",0.1200,-6.912
"5.10",0.0630,-6.889
"4.38",0.0300,-6.881
"3.48",0.1300,-6.879
"5.67",0.1250,-6.862
"5.45",0.0310,-6.859
"4.67",0.2500,-6.858
"6.16",0.2500,-6.852
"5.62",0.1250,-6.839
"5.66",0.1250,-6.836
"3.29",2.0000,-6.836
"4.35",0.0080,-6.824
"5.26",0.1250,-6.808
"5.14",0.0630,-6.793
"5.16",0.0160,-6.789
"5.11",0.1250,-6.785
"5.8",0.0630,-6.783
"3.24",2.0000,-6.771
"3.30",4.0000,-6.709
"3.16",1.5000,-6.767
"4.73",0.5000,-6.743
"5.17",0.0310,-6.738
"4.82",2.0000,-6.734
"4.81",1.0000,-6.731
"6.19",0.1300,-6.673
"6.8",0.0600,-6.725
"6.7",4.0000,-6.719
"4.51",0.0630,-6.712
"4.6",0.0160,-6.699
"5.3",0.0160,-6.699
"AM8085",0.0160,-6.699
"5.13",0.0160,-6.693
"5.15",0.0310,-6.687
"5.7",0.2500,-6.666
"3.45",0.5000,-6.678
"6.6",0.0200,-6.649
"4.48",0.5000,-6.644
"4.44",0.1250,-6.641
"6.23",0.0300,-6.601
"4.49",0.0630,-6.603
"5.6",0.0310,-6.574
"4.62",8.0000,-6.562
"4.64",16.0000,-6.557
"3.10",8.0000,-6.555
"4.65",16.0000,-6.550
"4.69",2.0000,-6.547
"6.10",1.0600,-6.545
"6.24",16.0000,-6.529
"4.41",0.0500,-6.525
"4.40",0.0600,-6.520
"3.13",8.0000,-6.514
"4.45",0.0310,-6.035
"5.31",0.5000,-6.497
"6.14",0.5000,-6.487
"4.36",0.0310,-6.477
"4.80",8.0000,-6.474
"4.57",0.0310,-6.419
"6.9",0.5000,-6.418
"AM8191",0.0200,-6.409
"6.12",8.0000,-6.407
"5.32",1.0000,-6.403
"4.61",32.0000,-6.294
"4.71",16.0000,-6.354
"4.52",2.0000,-6.344
"4.66",8.0000,-6.325
"4.47",0.2500,-6.282
"4.46",0.5000,-6.302
"5.5",0.5000,-6.302
"6.13",0.2500,-6.257
"4.75",16.0000,-6.236
"5.30",0.5000,-6.201
"4.45",0.0310,-5.761
"4.42",4.0000,-6.178
"4.68",0.5000,-6.175
"4.83",64.0000,-6.168
"4.74",4.0000,-6.162
"4.86",16.0000,-6.149
"4.70",0.1250,-6.143
"AM8192",0.0600,-6.129
"5.33",0.2500,-6.168
"4.85",64.0000,-6.047
"4.87",16.0000,-6.024
"5.28",0.2500,-5.857
"5.29",0.2500,-5.774
"4.56",0.5000,-5.716
"4.60",8.0000,-5.678
"4.76",8.0000,-5.622
"3.52",0.2500,-4.519
"6.11",2.0000,-5.449
