"Title","MIC","docking score"
"5.64",8.0000,-8.837
"3.12",2.0000,-8.097
"3.58",0.2500,-7.622
"5.52",0.0630,-8.443
"5.54",16.0000,-8.350
"3.17",1.0000,-8.346
"5.60",0.5000,-8.304
"3.52",0.2500,-7.329
"5.53",1.0000,-8.220
"3.12",2.0000,-7.968
"3.31",8.0000,-6.922
"3.15",0.5000,-6.890
"5.65",16.0000,-7.956
"4.50",16.0000,-7.847
"3.59",8.0000,-7.869
"4.55",1.0000,-7.765
"3.30",4.0000,-6.656
"5.50",0.2500,-7.732
"5.51",0.0630,-7.659
"3.37",1.0000,-7.626
"3.26",0.1200,-7.616
"3.58",0.2500,-7.494
"3.25",0.2500,-7.527
"3.21",4.0000,-7.578
"3.53",4.0000,-6.590
"3.50",0.0630,-7.564
"5.48",16.0000,-7.461
"3.62",2.0000,-7.496
"6.21",0.0200,-7.480
"3.8",0.2500,-7.428
"3.36",4.0000,-7.447
"3.49",0.0630,-7.458
"6.25",0.0300,-7.451
"3.41",8.0000,-7.435
"5.59",0.1250,-7.391
"3.7",0.5000,-7.376
"5.49",0.0310,-7.350
"3.54",0.1250,-7.355
"5.20",1.0000,-7.301
"3.22",4.0000,-7.331
"5.47",0.2500,-7.283
"3.31",8.0000,-7.230
"3.57",1.0000,-6.973
"4.81",1.0000,-7.243
"3.48",0.1300,-7.226
"3.55",1.0000,-7.236
"3.9",1.5000,-7.187
"3.39",2.0000,-6.881
"5.61",1.0000,-7.178
"3.14",4.0000,-7.177
"3.18",0.5000,-7.180
"3.34",0.2500,-7.155
"3.15",0.5000,-7.095
"4.53",0.2500,-7.133
"5.63",0.0630,-7.124
"3.33",0.2500,-7.138
"3.16",1.5000,-7.124
"3.29",2.0000,-7.103
"3.10",8.0000,-7.096
"5.12",0.0630,-7.082
"3.24",2.0000,-7.069
"5.17",0.0310,-7.069
"5.26",0.1250,-7.056
"3.32",0.1200,-7.072
"3.47",0.2500,-7.052
"2.7",0.2500,-7.047
"3.4",0.2500,-7.047
"5.62",0.1250,-7.023
"5.46",0.0630,-7.011
"5.19",0.2500,-6.999
"4.38",0.0300,-6.985
"5.23",0.1250,-6.984
"3.11",8.0000,-6.983
"5.18",0.0630,-6.982
"5.8",0.0630,-6.976
"3.51",0.5000,-7.009
"5.9",0.1250,-6.958
"2.8",2.0000,-6.945
"4.54",0.5000,-6.943
"3.39",2.0000,-6.385
"4.78",1.0000,-6.916
"4.63",0.1250,-6.912
"3.30",4.0000,-6.847
"5.66",0.1250,-6.900
"4.67",0.2500,-6.887
"5.10",0.0630,-6.881
"4.42",4.0000,-6.861
"5.16",0.0160,-6.833
"3.45",0.5000,-6.838
"3.40",8.0000,-6.855
"3.60",16.0000,-6.793
"4.87",16.0000,-6.801
"4.57",0.0310,-6.767
"5.45",0.0310,-6.766
"5.21",0.0630,-6.762
"4.59",0.0630,-6.757
"3.46",0.2500,-6.775
"6.23",0.0300,-6.751
"5.11",0.1250,-6.755
"4.37",0.0160,-6.751
"3.42",4.0000,-6.591
"3.38",0.2500,-6.733
"4.39",0.0300,-6.714
"4.49",0.0630,-6.708
"6.5",0.0200,-6.680
"6.6",0.0200,-6.661
"4.80",8.0000,-6.662
"4.77",16.0000,-6.649
"6.11",2.0000,-6.645
"4.51",0.0630,-6.638
"5.67",0.1250,-6.630
"5.7",0.2500,-6.592
"6.24",16.0000,-6.589
"4.44",0.1250,-6.589
"4.6",0.0160,-6.588
"5.3",0.0160,-6.588
"AM8085",0.0160,-6.588
"4.48",0.5000,-6.586
"3.57",1.0000,-6.107
"6.16",0.2500,-6.565
"4.64",16.0000,-6.560
"3.13",8.0000,-6.545
"4.40",0.0600,-6.528
"6.10",1.0600,-6.512
"5.13",0.0160,-6.507
"4.66",8.0000,-6.494
"4.73",0.5000,-6.493
"6.13",0.2500,-6.485
"3.35",1.0000,-6.495
"5.14",0.0630,-6.472
"5.6",0.0310,-6.461
"5.15",0.0310,-6.457
"3.61",16.0000,-6.458
"4.58",0.0160,-6.450
"AM8192",0.0600,-6.433
"4.35",0.0080,-6.435
"4.36",0.0310,-6.432
"AM8191",0.0200,-6.427
"3.44",8.0000,-6.462
"4.72",0.1250,-6.421
"4.68",0.5000,-6.410
"4.74",4.0000,-6.395
"6.8",0.0600,-6.393
"6.7",4.0000,-6.391
"4.70",0.1250,-6.376
"4.46",0.5000,-6.403
"5.5",0.5000,-6.403
"4.82",2.0000,-6.357
"3.28",8.0000,-6.325
"4.45",0.0310,-5.796
"6.22",0.0300,-6.307
"4.52",2.0000,-6.259
"4.47",0.2500,-6.225
"5.30",0.5000,-6.208
"3.52",0.2500,-6.120
"4.79",1.0000,-6.197
"3.23",8.0000,-6.187
"4.45",0.0310,-5.759
"4.69",2.0000,-6.191
"4.86",16.0000,-6.182
"3.42",4.0000,-5.314
"3.43",2.0000,-6.173
"6.14",0.5000,-6.146
"4.85",64.0000,-6.146
"6.20",16.0000,-6.144
"4.41",0.0500,-6.056
"6.18",2.0000,-6.032
"6.19",0.1300,-5.971
"4.56",0.5000,-5.971
"5.32",1.0000,-5.958
"6.9",0.5000,-5.950
"6.19",0.1300,-4.853
"3.53",4.0000,-5.837
"5.33",0.2500,-5.944
"3.6",0.2500,-5.837
"4.84",32.0000,-5.809
"5.29",0.2500,-5.722
"5.31",0.5000,-5.697
"3.56",0.5000,-5.729
"4.83",64.0000,-5.639
"3.27",8.0000,-5.628
"5.28",0.2500,-5.452
"6.12",8.0000,-5.370
"4.43",0.2500,-5.359
"4.71",16.0000,-5.157
"4.61",32.0000,-5.082
"4.65",16.0000,-5.135
"4.75",16.0000,-4.999
"4.60",8.0000,-5.033
"4.76",8.0000,-4.735
"4.62",8.0000,-3.837
