"Title","MIC","MMGBSA dG Bind"
"4.50",16.0000,-69.213
"4.78",1.0000,-66.250
"4.55",1.0000,-65.255
"4.79",1.0000,-64.736
"4.63",0.1250,-64.650
"4.87",16.0000,-64.379
"4.49",0.0630,-64.121
"4.73",0.5000,-63.929
"4.43",0.2500,-62.550
"4.68",0.5000,-62.362
"4.35",0.0080,-61.971
"4.53",0.2500,-61.586
"4.54",0.5000,-61.357
"4.59",0.0630,-61.248
"4.45",0.0310,-61.103
"4.58",0.0160,-61.101
"4.45",0.0310,-61.084
"4.74",4.0000,-61.064
"4.37",0.0160,-60.959
"4.84",32.0000,-60.592
"4.40",0.0600,-60.478
"AM8191",0.0200,-60.131
"4.51",0.0630,-60.022
"4.6",0.0160,-59.987
"4.36",0.0310,-59.368
"2.7",0.2500,-59.306
"4.77",16.0000,-58.824
"4.41",0.0500,-58.651
"4.44",0.1250,-58.597
"4.47",0.2500,-57.835
"4.81",1.0000,-57.692
"4.46",0.5000,-57.560
"4.52",2.0000,-57.500
"4.76",8.0000,-57.052
"4.85",64.0000,-56.786
"4.86",16.0000,-56.768
"4.57",0.0310,-56.491
"4.38",0.0300,-56.445
"4.66",8.0000,-56.394
"4.72",0.1250,-56.336
"4.56",0.5000,-55.854
"4.67",0.2500,-55.245
"4.62",8.0000,-55.162
"4.60",8.0000,-55.105
"4.39",0.0300,-54.339
"4.82",2.0000,-53.799
"4.42",4.0000,-53.643
"4.70",0.1250,-53.180
"4.69",2.0000,-52.249
"4.71",16.0000,-51.085
"4.80",8.0000,-50.450
"4.65",16.0000,-50.072
"4.75",16.0000,-49.489
"4.64",16.0000,-45.220
"4.83",64.0000,-43.391
"4.48",0.5000,-39.853
"4.61",32.0000,-39.277
